Designator,Footprint,Quantity,Value,LCSC Part #
"C3, CIN1, CL1",0603,3,10uF,
C4,0603,1,1uF,
C5,0603,1,0.1u,
"D1, D2, D3, D4",0603,4,LED,
J1,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Bridged,
"R1, R2",0603,2,220k,
R3,0603,1,10k,
"R4, R5",0603,2,2.2k,
"R6, R7, R8, R9",0603,4,1k,
U1,xiao_esp32c3,1,XIAO ESP32C3,
U2,XCL102D503CR-G,1,~,
U3,SOT-23-6,1,MCP4725xxx-xCH,
U4,TA7291F,1,~,
