Designator,Mid X,Mid Y,Rotation,Layer
C3,138.225,-69.0,0.0,bottom
C4,130.275,-69.0,180.0,bottom
C5,129.439499,-81.269,0.0,bottom
CIN1,123.457,-73.406,180.0,bottom
CL1,124.275,-68.961,0.0,bottom
D1,142.976499,-76.708,0.0,top
D2,144.018,-78.9685,90.0,top
D3,141.7065,-81.026,0.0,top
D4,140.716,-78.7145,270.0,top
J1,142.599999,-74.422,90.0,top
J3,117.25,-77.999999,90.0,top
R1,120.0,-74.0,90.0,bottom
R2,120.0,-70.5875,90.0,bottom
R3,133.2,-85.0,180.0,bottom
R4,126.238,-82.0185,270.0,bottom
R5,124.714,-82.6535,270.0,bottom
R6,125.6,-85.2,180.0,bottom
R7,144.018,-79.1445,90.0,bottom
R8,141.5815,-81.026,180.0,bottom
R9,140.716,-78.3355,270.0,bottom
U1,129.8925,-79.05,0.0,top
U2,124.25,-71.338,180.0,bottom
U3,129.349999,-84.1955,90.0,bottom
U4,138.5,-79.1625,90.0,bottom
