Designator,Mid X,Mid Y,Rotation,Layer
C1,49.784,-39.624,180.0,top
C10,74.676,-39.624,180.0,bottom
C11,77.724,-41.402,180.0,top
C12,77.724,-39.878,180.0,top
C13,46.736,-39.624,180.0,bottom
C14,49.784,-46.49,0.0,bottom
C15,74.676,-41.148,180.0,bottom
C2,49.784,-41.148,180.0,top
C3,73.152,-41.148,180.0,top
C4,73.152,-39.624,180.0,top
C6,46.736,-41.148,180.0,bottom
C8,49.784,-44.958,0.0,bottom
D1,71.6025,-33.655,0.0,top
D2,43.815,-40.005,90.0,top
J1,50.8,-55.88,0.0,top
J2,71.12,-55.88,0.0,top
J3,59.944,-40.259,0.0,top
J4,60.934999,-51.80725,0.0,top
R1,56.5912,-38.2656,270.0,bottom
R2,55.0926,-37.4142,270.0,bottom
R5,66.802,-36.068,270.0,bottom
R6,43.815,-40.83,90.0,bottom
SW1,60.96,-34.925,180.0,top
U1,49.53,-36.83,270.0,top
U2,72.39,-36.83,270.0,top
U3,46.99,-46.99,0.0,top
U4,74.93,-46.99,0.0,top
U5,60.96,-35.56,0.0,top
