Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
20,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
37,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
55,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
75,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
92,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
108,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
125,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
141,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
159,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
178,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
199,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
214,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
231,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
248,1,AUTO,STRAIGHT(NO_CTRL),307,176,0,0,0,0,-90
265,1,AUTO,STRAIGHT(NO_CTRL),307,177,0,1,0,-1,-90
281,1,AUTO,STRAIGHT(NO_CTRL),307,177,0,1,0,-1,-90
315,1,AUTO,STRAIGHT(NO_CTRL),307,177,0,1,0,-1,-91.7
331,1,AUTO,STRAIGHT(NO_CTRL),307,178,0,2,0,-2,-91.7
348,1,AUTO,STRAIGHT(NO_CTRL),307,178,0,2,0,-2,-91.7
365,1,AUTO,STRAIGHT(NO_CTRL),306,178,-1,2,-1,-2,-90
382,1,AUTO,STRAIGHT(NO_CTRL),306,178,-1,2,-1,-2,-90
399,1,AUTO,STRAIGHT(NO_CTRL),306,179,-1,3,-1,-3,-90
417,1,AUTO,STRAIGHT(NO_CTRL),306,179,-1,3,-1,-3,-90
437,1,AUTO,STRAIGHT(NO_CTRL),306,179,-1,3,-1,-3,-90
454,1,AUTO,STRAIGHT(NO_CTRL),306,179,-1,3,-1,-3,-90
473,1,AUTO,STRAIGHT(NO_CTRL),306,180,-1,4,-1,-4,-90
491,1,AUTO,STRAIGHT(NO_CTRL),306,180,-1,4,-1,-4,-91.7
508,1,AUTO,STRAIGHT(NO_CTRL),306,180,-1,4,-1,-4,-91.7
526,1,AUTO,STRAIGHT(NO_CTRL),305,180,-2,4,-2,-4,-90
544,1,AUTO,STRAIGHT(NO_CTRL),305,180,-2,4,-2,-4,-90
563,1,AUTO,STRAIGHT(NO_CTRL),305,181,-2,5,-2,-5,-90
581,1,AUTO,STRAIGHT(NO_CTRL),305,181,-2,5,-2,-5,-90
599,1,AUTO,STRAIGHT(NO_CTRL),305,182,-2,6,-2,-6,-90
616,1,AUTO,STRAIGHT(NO_CTRL),305,182,-2,6,-2,-6,-90
635,1,AUTO,STRAIGHT(NO_CTRL),305,182,-2,6,-2,-6,-91.7
655,1,AUTO,STRAIGHT(NO_CTRL),304,183,-3,7,-3,-7,-90
674,1,AUTO,STRAIGHT(NO_CTRL),304,183,-3,7,-3,-7,-90
695,1,AUTO,STRAIGHT(NO_CTRL),304,183,-3,7,-3,-7,-90
714,1,AUTO,STRAIGHT(NO_CTRL),304,183,-3,7,-3,-7,-90
741,1,AUTO,STRAIGHT(NO_CTRL),304,184,-3,8,-3,-8,-90
758,1,AUTO,STRAIGHT(NO_CTRL),304,184,-3,8,-3,-8,-90
777,1,AUTO,STRAIGHT(NO_CTRL),304,184,-3,8,-3,-8,-90
793,1,AUTO,STRAIGHT(NO_CTRL),304,184,-3,8,-3,-8,-90
812,1,AUTO,STRAIGHT(NO_CTRL),303,185,-4,9,-4,-9,-88.3
830,1,AUTO,STRAIGHT(NO_CTRL),303,185,-4,9,-4,-9,-90
847,1,AUTO,STRAIGHT(NO_CTRL),303,185,-4,9,-4,-9,-90
865,1,AUTO,STRAIGHT(NO_CTRL),302,185,-5,9,-5,-9,-88.3
883,1,AUTO,STRAIGHT(NO_CTRL),302,185,-5,9,-5,-9,-88.3
908,1,AUTO,STRAIGHT(NO_CTRL),303,186,-4,10,-4,-10,-90
926,1,AUTO,STRAIGHT(NO_CTRL),302,186,-5,10,-5,-10,-88.3
945,1,AUTO,STRAIGHT(NO_CTRL),302,186,-5,10,-5,-10,-88.3
964,1,AUTO,STRAIGHT(NO_CTRL),302,187,-5,11,-5,-11,-88.3
982,1,AUTO,STRAIGHT(NO_CTRL),302,187,-5,11,-5,-11,-88.3
1001,1,AUTO,STRAIGHT(NO_CTRL),301,187,-6,11,-6,-11,-88.3
1022,1,AUTO,STRAIGHT(NO_CTRL),301,188,-6,12,-6,-12,-88.3
1040,1,AUTO,STRAIGHT(NO_CTRL),301,188,-6,12,-6,-12,-88.3
1058,1,AUTO,STRAIGHT(NO_CTRL),300,188,-7,12,-7,-12,-88.3
1076,1,AUTO,STRAIGHT(NO_CTRL),300,188,-7,12,-7,-12,-88.3
1093,1,AUTO,STRAIGHT(NO_CTRL),300,189,-7,13,-7,-13,-88.3
1115,1,AUTO,STRAIGHT(NO_CTRL),300,189,-7,13,-7,-13,-88.3
1133,1,AUTO,STRAIGHT(NO_CTRL),299,189,-8,13,-8,-13,-86.5
1150,1,AUTO,STRAIGHT(NO_CTRL),299,189,-8,13,-8,-13,-86.5
1166,1,AUTO,STRAIGHT(NO_CTRL),299,190,-8,14,-8,-14,-86.5
1184,1,AUTO,STRAIGHT(NO_CTRL),299,190,-8,14,-8,-14,-86.5
1202,1,AUTO,STRAIGHT(NO_CTRL),299,190,-8,14,-8,-14,-88.3
1221,1,AUTO,STRAIGHT(NO_CTRL),299,190,-8,14,-8,-14,-88.3
1243,1,AUTO,STRAIGHT(NO_CTRL),299,191,-8,15,-8,-15,-88.3
1264,1,AUTO,STRAIGHT(NO_CTRL),298,191,-9,15,-9,-15,-86.5
1291,1,AUTO,STRAIGHT(NO_CTRL),298,192,-9,16,-9,-16,-88.3
