Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),343,282,0,0,0,0,-86.4
18,1,AUTO,STRAIGHT(NO_CTRL),342,282,-1,0,-1,-0.1,-84.6
44,1,AUTO,STRAIGHT(NO_CTRL),342,282,-1,0,-1,-0.1,-84.6
62,1,AUTO,STRAIGHT(NO_CTRL),343,282,0,0,0,0,-86.4
79,1,AUTO,STRAIGHT(NO_CTRL),343,282,0,0,0,0,-86.4
97,1,AUTO,STRAIGHT(NO_CTRL),342,282,-1,0,-1,-0.1,-84.6
115,1,AUTO,STRAIGHT(NO_CTRL),342,282,-1,0,-1,-0.1,-84.6
133,1,AUTO,STRAIGHT(NO_CTRL),342,282,-1,0,-1,-0.1,-84.6
152,1,AUTO,STRAIGHT(NO_CTRL),342,282,-1,0,-1,-0.1,-84.6
171,1,AUTO,STRAIGHT(NO_CTRL),342,282,-1,0,-1,-0.1,-84.6
191,1,AUTO,STRAIGHT(NO_CTRL),343,283,0,1,0.1,-1,-86.5
208,1,AUTO,STRAIGHT(NO_CTRL),343,283,0,1,0.1,-1,-86.5
225,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-84.8
243,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-84.8
260,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-84.6
279,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-84.6
296,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-86.4
313,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-86.4
330,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-86.4
347,1,AUTO,STRAIGHT(NO_CTRL),342,283,-1,1,-0.9,-1.1,-86.4
365,1,AUTO,STRAIGHT(NO_CTRL),341,283,-2,1,-1.9,-1.1,-84.6
381,1,AUTO,STRAIGHT(NO_CTRL),341,283,-2,1,-1.9,-1.1,-84.6
402,1,AUTO,STRAIGHT(NO_CTRL),341,283,-2,1,-1.9,-1.1,-84.6
418,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-82.9
439,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-82.9
461,1,AUTO,STRAIGHT(NO_CTRL),341,283,-2,1,-1.9,-1.1,-86.4
486,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
502,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
521,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
538,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
556,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
576,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
594,1,AUTO,STRAIGHT(NO_CTRL),339,283,-4,1,-3.9,-1.2,-82.9
612,1,AUTO,STRAIGHT(NO_CTRL),339,283,-4,1,-3.9,-1.2,-82.9
629,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
646,1,AUTO,STRAIGHT(NO_CTRL),340,283,-3,1,-2.9,-1.2,-84.6
663,1,AUTO,STRAIGHT(NO_CTRL),339,284,-4,2,-3.9,-2.2,-84.8
681,1,AUTO,STRAIGHT(NO_CTRL),339,284,-4,2,-3.9,-2.2,-84.8
699,1,AUTO,STRAIGHT(NO_CTRL),339,284,-4,2,-3.9,-2.2,-84.8
718,1,AUTO,STRAIGHT(NO_CTRL),339,284,-4,2,-3.9,-2.2,-84.8
737,1,AUTO,STRAIGHT(NO_CTRL),339,284,-4,2,-3.9,-2.2,-84.6
755,1,AUTO,STRAIGHT(NO_CTRL),339,284,-4,2,-3.9,-2.2,-84.6
774,1,AUTO,STRAIGHT(NO_CTRL),339,284,-4,2,-3.9,-2.2,-84.6
792,1,AUTO,STRAIGHT(NO_CTRL),338,284,-5,2,-4.9,-2.3,-82.9
