Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
16,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
32,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
48,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
66,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
85,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
103,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
120,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
136,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
154,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
172,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
190,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
209,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
228,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
246,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
264,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
283,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
304,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
325,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
346,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
369,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
420,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
439,1,AUTO,STRAIGHT(NO_CTRL),334,185,0,0,0,0,-88.3
457,1,AUTO,STRAIGHT(NO_CTRL),335,185,1,0,1,0,-88.3
474,1,AUTO,STRAIGHT(NO_CTRL),335,185,1,0,1,0,-88.3
495,1,AUTO,STRAIGHT(NO_CTRL),335,185,1,0,1,0,-88.3
513,1,AUTO,STRAIGHT(NO_CTRL),335,185,1,0,1,0,-88.3
537,1,AUTO,STRAIGHT(NO_CTRL),335,185,1,0,1,0,-88.3
558,1,AUTO,STRAIGHT(NO_CTRL),335,185,1,0,1,0,-88.3
