Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
18,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
40,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
60,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
89,1,AUTO,STRAIGHT(NO_CTRL),280,374,0,1,0.1,-1,-86.5
108,1,AUTO,STRAIGHT(NO_CTRL),280,374,0,1,0.1,-1,-86.5
125,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
141,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
159,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
176,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
192,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-86.4
209,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-88.2
225,1,AUTO,STRAIGHT(NO_CTRL),280,373,0,0,0,0,-88.2
245,1,AUTO,STRAIGHT(NO_CTRL),279,373,-1,0,-1,-0.1,-86.4
261,1,AUTO,STRAIGHT(NO_CTRL),279,373,-1,0,-1,-0.1,-86.4
280,1,AUTO,STRAIGHT(NO_CTRL),279,373,-1,0,-1,-0.1,-86.4
298,1,AUTO,STRAIGHT(NO_CTRL),279,373,-1,0,-1,-0.1,-86.4
316,1,AUTO,STRAIGHT(NO_CTRL),278,373,-2,0,-2,-0.1,-86.4
333,1,AUTO,STRAIGHT(NO_CTRL),278,373,-2,0,-2,-0.1,-86.4
351,1,AUTO,STRAIGHT(NO_CTRL),278,373,-2,0,-2,-0.1,-86.4
369,1,AUTO,STRAIGHT(NO_CTRL),277,373,-3,0,-3,-0.2,-86.4
387,1,AUTO,STRAIGHT(NO_CTRL),277,373,-3,0,-3,-0.2,-86.4
404,1,AUTO,STRAIGHT(NO_CTRL),277,373,-3,0,-3,-0.2,-86.4
422,1,AUTO,STRAIGHT(NO_CTRL),277,373,-3,0,-3,-0.2,-86.4
440,1,AUTO,STRAIGHT(NO_CTRL),277,373,-3,0,-3,-0.2,-86.4
458,1,AUTO,STRAIGHT(NO_CTRL),277,373,-3,0,-3,-0.2,-86.4
475,1,AUTO,STRAIGHT(NO_CTRL),276,373,-4,0,-4,-0.2,-86.4
492,1,AUTO,STRAIGHT(NO_CTRL),276,373,-4,0,-4,-0.2,-86.4
510,1,AUTO,STRAIGHT(NO_CTRL),276,373,-4,0,-4,-0.2,-86.4
527,1,AUTO,STRAIGHT(NO_CTRL),276,373,-4,0,-4,-0.2,-86.4
552,1,AUTO,STRAIGHT(NO_CTRL),276,373,-4,0,-4,-0.2,-86.4
572,1,AUTO,STRAIGHT(NO_CTRL),276,373,-4,0,-4,-0.2,-86.4
605,1,AUTO,STRAIGHT(NO_CTRL),275,373,-5,0,-5,-0.3,-84.6
628,1,AUTO,STRAIGHT(NO_CTRL),275,373,-5,0,-5,-0.3,-84.6
649,1,AUTO,STRAIGHT(NO_CTRL),275,373,-5,0,-5,-0.3,-86.4
666,1,AUTO,STRAIGHT(NO_CTRL),275,373,-5,0,-5,-0.3,-86.4
