Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
12,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
22,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
31,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
42,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
53,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
63,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
76,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
86,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
95,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
105,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
115,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
125,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
136,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
146,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
155,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
166,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
176,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
186,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
199,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
211,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
226,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
238,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
248,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
258,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
270,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
280,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
290,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
302,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
313,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
322,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
334,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
345,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
354,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
365,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
376,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
386,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
398,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
408,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
417,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
428,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
438,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
448,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
460,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
470,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
480,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
491,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
500,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
513,1,AUTO,STRAIGHT(NO_CTRL),317,247,0,0
526,1,AUTO,STRAIGHT(NO_CTRL),317,248,0,1
541,1,AUTO,STRAIGHT(NO_CTRL),317,248,0,1
551,1,AUTO,STRAIGHT(NO_CTRL),317,248,0,1
561,1,AUTO,STRAIGHT(NO_CTRL),317,248,0,1
571,1,AUTO,STRAIGHT(NO_CTRL),317,248,0,1
581,1,AUTO,STRAIGHT(NO_CTRL),317,248,0,1
598,1,AUTO,STRAIGHT(NO_CTRL),317,248,0,1
608,1,AUTO,STRAIGHT(NO_CTRL),317,249,0,2
617,1,AUTO,STRAIGHT(NO_CTRL),317,249,0,2
630,1,AUTO,STRAIGHT(NO_CTRL),317,249,0,2
639,1,AUTO,STRAIGHT(NO_CTRL),317,249,0,2
649,1,AUTO,STRAIGHT(NO_CTRL),317,249,0,2
660,1,AUTO,STRAIGHT(NO_CTRL),317,249,0,2
670,1,AUTO,STRAIGHT(NO_CTRL),317,250,0,3
679,1,AUTO,STRAIGHT(NO_CTRL),317,250,0,3
690,1,AUTO,STRAIGHT(NO_CTRL),317,250,0,3
700,1,AUTO,STRAIGHT(NO_CTRL),317,250,0,3
710,1,AUTO,STRAIGHT(NO_CTRL),317,250,0,3
721,1,AUTO,STRAIGHT(NO_CTRL),317,250,0,3
731,1,AUTO,STRAIGHT(NO_CTRL),317,251,0,4
742,1,AUTO,STRAIGHT(NO_CTRL),317,251,0,4
753,1,AUTO,STRAIGHT(NO_CTRL),317,251,0,4
764,1,AUTO,STRAIGHT(NO_CTRL),317,251,0,4
774,1,AUTO,STRAIGHT(NO_CTRL),317,251,0,4
785,1,AUTO,STRAIGHT(NO_CTRL),317,251,0,4
795,1,AUTO,STRAIGHT(NO_CTRL),317,252,0,5
804,1,AUTO,STRAIGHT(NO_CTRL),317,252,0,5
814,1,AUTO,STRAIGHT(NO_CTRL),317,252,0,5
825,1,AUTO,STRAIGHT(NO_CTRL),317,252,0,5
836,1,AUTO,STRAIGHT(NO_CTRL),317,252,0,5
851,1,AUTO,STRAIGHT(NO_CTRL),317,252,0,5
861,1,AUTO,STRAIGHT(NO_CTRL),316,253,-1,6
870,1,AUTO,STRAIGHT(NO_CTRL),316,253,-1,6
881,1,AUTO,STRAIGHT(NO_CTRL),316,253,-1,6
892,1,AUTO,STRAIGHT(NO_CTRL),316,253,-1,6
901,1,AUTO,STRAIGHT(NO_CTRL),316,253,-1,6
911,1,AUTO,STRAIGHT(NO_CTRL),316,253,-1,6
921,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
930,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
943,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
953,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
963,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
973,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
983,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
994,1,AUTO,STRAIGHT(NO_CTRL),317,254,0,7
1006,1,AUTO,STRAIGHT(NO_CTRL),317,255,0,8
1016,1,AUTO,STRAIGHT(NO_CTRL),317,255,0,8
1025,1,AUTO,STRAIGHT(NO_CTRL),317,255,0,8
1036,1,AUTO,STRAIGHT(NO_CTRL),317,255,0,8
1047,1,AUTO,STRAIGHT(NO_CTRL),317,255,0,8
1056,1,AUTO,STRAIGHT(NO_CTRL),317,255,0,8
1067,1,AUTO,STRAIGHT(NO_CTRL),317,256,0,9
1077,1,AUTO,STRAIGHT(NO_CTRL),317,256,0,9
1087,1,AUTO,STRAIGHT(NO_CTRL),317,256,0,9
1098,1,AUTO,STRAIGHT(NO_CTRL),317,256,0,9
1108,1,AUTO,STRAIGHT(NO_CTRL),317,256,0,9
1118,1,AUTO,STRAIGHT(NO_CTRL),317,256,0,9
1132,1,AUTO,STRAIGHT(NO_CTRL),317,257,0,10
1148,1,AUTO,STRAIGHT(NO_CTRL),317,257,0,10
1157,1,AUTO,STRAIGHT(NO_CTRL),317,257,0,10
1167,1,AUTO,STRAIGHT(NO_CTRL),317,257,0,10
1177,1,AUTO,STRAIGHT(NO_CTRL),317,257,0,10
1187,1,AUTO,STRAIGHT(NO_CTRL),317,257,0,10
1200,1,AUTO,STRAIGHT(NO_CTRL),318,258,1,11
1211,1,AUTO,STRAIGHT(NO_CTRL),318,258,1,11
1220,1,AUTO,STRAIGHT(NO_CTRL),318,258,1,11
1231,1,AUTO,STRAIGHT(NO_CTRL),318,258,1,11
1242,1,AUTO,STRAIGHT(NO_CTRL),318,258,1,11
1251,1,AUTO,STRAIGHT(NO_CTRL),318,258,1,11
1263,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1272,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1282,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1292,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1301,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1312,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1323,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1333,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1343,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1354,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1364,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1374,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1385,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1395,1,AUTO,STRAIGHT(NO_CTRL),318,259,1,12
1404,1,AUTO,STRAIGHT(NO_CTRL),318,260,1,13
1416,1,AUTO,STRAIGHT(NO_CTRL),318,260,1,13
1426,1,AUTO,STRAIGHT(NO_CTRL),318,260,1,13
1436,1,AUTO,STRAIGHT(NO_CTRL),318,260,1,13
1455,1,AUTO,STRAIGHT(NO_CTRL),318,260,1,13
1465,1,AUTO,STRAIGHT(NO_CTRL),318,261,1,14
1474,1,AUTO,STRAIGHT(NO_CTRL),318,261,1,14
1485,1,AUTO,STRAIGHT(NO_CTRL),318,261,1,14
1494,1,AUTO,STRAIGHT(NO_CTRL),318,261,1,14
1504,1,AUTO,STRAIGHT(NO_CTRL),318,261,1,14
1515,1,AUTO,STRAIGHT(NO_CTRL),318,261,1,14
1525,1,AUTO,STRAIGHT(NO_CTRL),318,262,1,15
1535,1,AUTO,STRAIGHT(NO_CTRL),318,262,1,15
1546,1,AUTO,STRAIGHT(NO_CTRL),318,262,1,15
1556,1,AUTO,STRAIGHT(NO_CTRL),318,262,1,15
1565,1,AUTO,STRAIGHT(NO_CTRL),318,262,1,15
1576,1,AUTO,STRAIGHT(NO_CTRL),318,262,1,15
1586,1,AUTO,STRAIGHT(NO_CTRL),318,262,1,15
1596,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1607,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1617,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1627,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1637,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1648,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1657,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1668,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1677,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1687,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1697,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1707,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1717,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1730,1,AUTO,STRAIGHT(NO_CTRL),318,263,1,16
1741,1,AUTO,STRAIGHT(NO_CTRL),319,264,2,17
1756,1,AUTO,STRAIGHT(NO_CTRL),319,264,2,17
1767,1,AUTO,STRAIGHT(NO_CTRL),319,264,2,17
1777,1,AUTO,STRAIGHT(NO_CTRL),319,264,2,17
1787,1,AUTO,STRAIGHT(NO_CTRL),319,264,2,17
1798,1,AUTO,STRAIGHT(NO_CTRL),319,265,2,18
1808,1,AUTO,STRAIGHT(NO_CTRL),319,265,2,18
1817,1,AUTO,STRAIGHT(NO_CTRL),319,265,2,18
1828,1,AUTO,STRAIGHT(NO_CTRL),319,265,2,18
1838,1,AUTO,STRAIGHT(NO_CTRL),319,265,2,18
1847,1,AUTO,STRAIGHT(NO_CTRL),319,265,2,18
1860,1,AUTO,STRAIGHT(NO_CTRL),319,265,2,18
1871,1,AUTO,STRAIGHT(NO_CTRL),319,266,2,19
1880,1,AUTO,STRAIGHT(NO_CTRL),319,266,2,19
1890,1,AUTO,STRAIGHT(NO_CTRL),319,266,2,19
1900,1,AUTO,STRAIGHT(NO_CTRL),319,266,2,19
1910,1,AUTO,STRAIGHT(NO_CTRL),319,266,2,19
1921,1,AUTO,STRAIGHT(NO_CTRL),319,266,2,19
1932,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
1940,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
1951,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
1961,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
1971,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
1982,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
1994,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
2004,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
2014,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
2023,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
2034,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
2047,1,AUTO,STRAIGHT(NO_CTRL),319,267,2,20
2061,1,AUTO,STRAIGHT(NO_CTRL),319,268,2,21
2070,1,AUTO,STRAIGHT(NO_CTRL),319,268,2,21
2083,1,AUTO,STRAIGHT(NO_CTRL),319,268,2,21
2092,1,AUTO,STRAIGHT(NO_CTRL),319,268,2,21
2101,1,AUTO,STRAIGHT(NO_CTRL),319,268,2,21
2112,1,AUTO,STRAIGHT(NO_CTRL),319,268,2,21
