Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
19,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
39,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
56,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
72,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
89,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
110,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
130,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
153,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
171,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
193,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
211,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
243,1,AUTO,STRAIGHT(NO_CTRL),362,255,0,0
261,1,AUTO,STRAIGHT(NO_CTRL),361,255,-1,0
277,1,AUTO,STRAIGHT(NO_CTRL),361,255,-1,0
294,1,AUTO,STRAIGHT(NO_CTRL),361,255,-1,0
311,1,AUTO,STRAIGHT(NO_CTRL),360,256,-2,1
327,1,AUTO,STRAIGHT(NO_CTRL),360,256,-2,1
344,1,AUTO,STRAIGHT(NO_CTRL),360,256,-2,1
362,1,AUTO,STRAIGHT(NO_CTRL),360,256,-2,1
379,1,AUTO,STRAIGHT(NO_CTRL),360,257,-2,2
397,1,AUTO,STRAIGHT(NO_CTRL),360,257,-2,2
413,1,AUTO,STRAIGHT(NO_CTRL),360,257,-2,2
431,1,AUTO,STRAIGHT(NO_CTRL),360,257,-2,2
448,1,AUTO,STRAIGHT(NO_CTRL),359,258,-3,3
465,1,AUTO,STRAIGHT(NO_CTRL),359,258,-3,3
487,1,AUTO,STRAIGHT(NO_CTRL),359,258,-3,3
506,1,AUTO,STRAIGHT(NO_CTRL),359,258,-3,3
524,1,AUTO,STRAIGHT(NO_CTRL),359,258,-3,3
542,1,AUTO,STRAIGHT(NO_CTRL),359,258,-3,3
560,1,AUTO,STRAIGHT(NO_CTRL),359,258,-3,3
580,1,AUTO,STRAIGHT(NO_CTRL),359,259,-3,4
597,1,AUTO,STRAIGHT(NO_CTRL),359,259,-3,4
615,1,AUTO,STRAIGHT(NO_CTRL),359,259,-3,4
633,1,AUTO,STRAIGHT(NO_CTRL),359,259,-3,4
653,1,AUTO,STRAIGHT(NO_CTRL),358,260,-4,5
675,1,AUTO,STRAIGHT(NO_CTRL),358,260,-4,5
700,1,AUTO,STRAIGHT(NO_CTRL),358,260,-4,5
