Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
17,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
34,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
52,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
69,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
85,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
102,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
119,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
135,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
152,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
169,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
189,1,AUTO,STRAIGHT(NO_CTRL),237,251,0,0,0,0,-88.3
206,1,AUTO,STRAIGHT(NO_CTRL),236,251,-1,0,-1,0,-86.5
225,1,AUTO,STRAIGHT(NO_CTRL),236,251,-1,0,-1,0,-86.5
243,1,AUTO,STRAIGHT(NO_CTRL),236,251,-1,0,-1,0,-88.3
260,1,AUTO,STRAIGHT(NO_CTRL),236,251,-1,0,-1,0,-88.3
281,1,AUTO,STRAIGHT(NO_CTRL),235,252,-2,1,-2,-1.1,-86.5
312,1,AUTO,STRAIGHT(NO_CTRL),235,252,-2,1,-2,-1.1,-88.3
328,1,AUTO,STRAIGHT(NO_CTRL),235,252,-2,1,-2,-1.1,-88.3
348,1,AUTO,STRAIGHT(NO_CTRL),234,253,-3,2,-2.9,-2.1,-88.3
366,1,AUTO,STRAIGHT(NO_CTRL),233,254,-4,3,-3.9,-3.1,-86.5
384,1,AUTO,STRAIGHT(NO_CTRL),233,254,-4,3,-3.9,-3.1,-86.5
401,1,AUTO,STRAIGHT(NO_CTRL),232,254,-5,3,-4.9,-3.2,-86.5
419,1,AUTO,STRAIGHT(NO_CTRL),232,254,-5,3,-4.9,-3.2,-86.5
438,1,AUTO,STRAIGHT(NO_CTRL),231,255,-6,4,-5.9,-4.2,-86.5
454,1,AUTO,STRAIGHT(NO_CTRL),231,255,-6,4,-5.9,-4.2,-86.5
472,1,AUTO,STRAIGHT(NO_CTRL),231,256,-6,5,-5.8,-5.2,-88.3
490,1,AUTO,STRAIGHT(NO_CTRL),230,256,-7,5,-6.8,-5.2,-86.5
507,1,AUTO,STRAIGHT(NO_CTRL),230,256,-7,5,-6.8,-5.2,-86.5
525,1,AUTO,STRAIGHT(NO_CTRL),230,256,-7,5,-6.8,-5.2,-86.5
543,1,AUTO,STRAIGHT(NO_CTRL),229,257,-8,6,-7.8,-6.2,-86.5
561,1,AUTO,STRAIGHT(NO_CTRL),229,257,-8,6,-7.8,-6.2,-86.5
579,1,AUTO,STRAIGHT(NO_CTRL),229,258,-8,7,-7.8,-7.2,-88.3
