Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
20,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
36,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
51,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
68,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
90,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
106,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
123,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
142,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
158,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
174,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
191,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
207,1,AUTO,STRAIGHT(NO_CTRL),361,271,0,0
223,1,AUTO,STRAIGHT(NO_CTRL),361,270,0,-1
243,1,AUTO,STRAIGHT(NO_CTRL),361,270,0,-1
259,1,AUTO,STRAIGHT(NO_CTRL),361,270,0,-1
275,1,AUTO,STRAIGHT(NO_CTRL),361,270,0,-1
292,1,AUTO,STRAIGHT(NO_CTRL),360,269,-1,-2
308,1,AUTO,STRAIGHT(NO_CTRL),360,269,-1,-2
324,1,AUTO,STRAIGHT(NO_CTRL),360,269,-1,-2
345,1,AUTO,STRAIGHT(NO_CTRL),360,269,-1,-2
361,1,AUTO,STRAIGHT(NO_CTRL),360,268,-1,-3
377,1,AUTO,STRAIGHT(NO_CTRL),360,268,-1,-3
393,1,AUTO,STRAIGHT(NO_CTRL),360,268,-1,-3
409,1,AUTO,STRAIGHT(NO_CTRL),360,268,-1,-3
425,1,AUTO,STRAIGHT(NO_CTRL),359,267,-2,-4
440,1,AUTO,STRAIGHT(NO_CTRL),359,267,-2,-4
461,1,AUTO,STRAIGHT(NO_CTRL),359,267,-2,-4
480,1,AUTO,STRAIGHT(NO_CTRL),357,265,-4,-6
499,1,AUTO,STRAIGHT(NO_CTRL),357,265,-4,-6
525,1,AUTO,STRAIGHT(NO_CTRL),357,265,-4,-6
540,1,AUTO,STRAIGHT(NO_CTRL),357,265,-4,-6
557,1,AUTO,STRAIGHT(NO_CTRL),356,264,-5,-7
575,1,AUTO,STRAIGHT(NO_CTRL),356,264,-5,-7
590,1,AUTO,STRAIGHT(NO_CTRL),356,264,-5,-7
610,1,AUTO,STRAIGHT(NO_CTRL),356,264,-5,-7
627,1,AUTO,STRAIGHT(NO_CTRL),355,262,-6,-9
642,1,AUTO,STRAIGHT(NO_CTRL),355,262,-6,-9
658,1,AUTO,STRAIGHT(NO_CTRL),355,262,-6,-9
674,1,AUTO,STRAIGHT(NO_CTRL),355,262,-6,-9
691,1,AUTO,STRAIGHT(NO_CTRL),354,261,-7,-10
706,1,AUTO,STRAIGHT(NO_CTRL),354,261,-7,-10
724,1,AUTO,STRAIGHT(NO_CTRL),354,261,-7,-10
744,1,AUTO,STRAIGHT(NO_CTRL),354,261,-7,-10
760,1,AUTO,STRAIGHT(NO_CTRL),353,260,-8,-11
778,1,AUTO,STRAIGHT(NO_CTRL),353,260,-8,-11
796,1,AUTO,STRAIGHT(NO_CTRL),353,260,-8,-11
814,1,AUTO,STRAIGHT(NO_CTRL),352,259,-9,-12
832,1,AUTO,STRAIGHT(NO_CTRL),352,259,-9,-12
850,1,AUTO,STRAIGHT(NO_CTRL),352,259,-9,-12
868,1,AUTO,STRAIGHT(NO_CTRL),352,259,-9,-12
889,1,AUTO,STRAIGHT(NO_CTRL),351,259,-10,-12
906,1,AUTO,STRAIGHT(NO_CTRL),351,259,-10,-12
923,1,AUTO,STRAIGHT(NO_CTRL),351,259,-10,-12
943,1,AUTO,STRAIGHT(NO_CTRL),351,259,-10,-12
962,1,AUTO,STRAIGHT(NO_CTRL),350,258,-11,-13
985,1,AUTO,STRAIGHT(NO_CTRL),350,258,-11,-13
1003,1,AUTO,STRAIGHT(NO_CTRL),350,258,-11,-13
1028,1,AUTO,STRAIGHT(NO_CTRL),350,257,-11,-14
1051,1,AUTO,STRAIGHT(NO_CTRL),350,257,-11,-14
1067,1,AUTO,STRAIGHT(NO_CTRL),350,257,-11,-14
1085,1,AUTO,STRAIGHT(NO_CTRL),349,257,-12,-14
1106,1,AUTO,STRAIGHT(NO_CTRL),349,257,-12,-14
1123,1,AUTO,STRAIGHT(NO_CTRL),349,257,-12,-14
1140,1,AUTO,STRAIGHT(NO_CTRL),349,257,-12,-14
1158,1,AUTO,STRAIGHT(NO_CTRL),349,256,-12,-15
1175,1,AUTO,STRAIGHT(NO_CTRL),349,256,-12,-15
1192,1,AUTO,STRAIGHT(NO_CTRL),349,256,-12,-15
1210,1,AUTO,STRAIGHT(NO_CTRL),349,256,-12,-15
1228,1,AUTO,STRAIGHT(NO_CTRL),348,255,-13,-16
1245,1,AUTO,STRAIGHT(NO_CTRL),348,255,-13,-16
1262,1,AUTO,STRAIGHT(NO_CTRL),348,255,-13,-16
1280,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1297,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1314,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1330,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1348,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1366,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1382,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1400,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1416,1,AUTO,STRAIGHT(NO_CTRL),347,254,-14,-17
1433,1,AUTO,STRAIGHT(NO_CTRL),346,253,-15,-18
1449,1,AUTO,STRAIGHT(NO_CTRL),346,253,-15,-18
1467,1,AUTO,STRAIGHT(NO_CTRL),346,253,-15,-18
1484,1,AUTO,STRAIGHT(NO_CTRL),345,253,-16,-18
1503,1,AUTO,STRAIGHT(NO_CTRL),345,253,-16,-18
1524,1,AUTO,STRAIGHT(NO_CTRL),345,253,-16,-18
1548,1,AUTO,STRAIGHT(NO_CTRL),345,252,-16,-19
1564,1,AUTO,STRAIGHT(NO_CTRL),345,252,-16,-19
1578,1,AUTO,STRAIGHT(NO_CTRL),345,252,-16,-19
1595,1,AUTO,STRAIGHT(NO_CTRL),345,252,-16,-19
