Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
18,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
39,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
60,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
77,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
93,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
109,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
126,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
143,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
162,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
180,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
199,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
219,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
237,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
256,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
272,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
289,1,AUTO,STRAIGHT(NO_CTRL),367,213,0,0
307,1,AUTO,STRAIGHT(NO_CTRL),366,212,-1,-1
324,1,AUTO,STRAIGHT(NO_CTRL),366,212,-1,-1
341,1,AUTO,STRAIGHT(NO_CTRL),366,212,-1,-1
360,1,AUTO,STRAIGHT(NO_CTRL),366,212,-1,-1
379,1,AUTO,STRAIGHT(NO_CTRL),365,212,-2,-1
396,1,AUTO,STRAIGHT(NO_CTRL),365,212,-2,-1
413,1,AUTO,STRAIGHT(NO_CTRL),365,212,-2,-1
430,1,AUTO,STRAIGHT(NO_CTRL),365,212,-2,-1
452,1,AUTO,STRAIGHT(NO_CTRL),365,212,-2,-1
481,1,AUTO,STRAIGHT(NO_CTRL),364,210,-3,-3
501,1,AUTO,STRAIGHT(NO_CTRL),364,210,-3,-3
525,1,AUTO,STRAIGHT(NO_CTRL),362,209,-5,-4
542,1,AUTO,STRAIGHT(NO_CTRL),362,209,-5,-4
560,1,AUTO,STRAIGHT(NO_CTRL),362,209,-5,-4
576,1,AUTO,STRAIGHT(NO_CTRL),362,209,-5,-4
596,1,AUTO,STRAIGHT(NO_CTRL),361,208,-6,-5
612,1,AUTO,STRAIGHT(NO_CTRL),361,208,-6,-5
629,1,AUTO,STRAIGHT(NO_CTRL),361,208,-6,-5
645,1,AUTO,STRAIGHT(NO_CTRL),360,207,-7,-6
663,1,AUTO,STRAIGHT(NO_CTRL),360,207,-7,-6
680,1,AUTO,STRAIGHT(NO_CTRL),360,207,-7,-6
700,1,AUTO,STRAIGHT(NO_CTRL),360,207,-7,-6
718,1,AUTO,STRAIGHT(NO_CTRL),359,206,-8,-7
734,1,AUTO,STRAIGHT(NO_CTRL),359,206,-8,-7
751,1,AUTO,STRAIGHT(NO_CTRL),359,206,-8,-7
768,1,AUTO,STRAIGHT(NO_CTRL),358,205,-9,-8
786,1,AUTO,STRAIGHT(NO_CTRL),358,205,-9,-8
803,1,AUTO,STRAIGHT(NO_CTRL),358,205,-9,-8
819,1,AUTO,STRAIGHT(NO_CTRL),358,205,-9,-8
837,1,AUTO,STRAIGHT(NO_CTRL),358,205,-9,-8
855,1,AUTO,STRAIGHT(NO_CTRL),356,204,-11,-9
872,1,AUTO,STRAIGHT(NO_CTRL),356,204,-11,-9
888,1,AUTO,STRAIGHT(NO_CTRL),356,204,-11,-9
906,1,AUTO,STRAIGHT(NO_CTRL),356,204,-11,-9
923,1,AUTO,STRAIGHT(NO_CTRL),355,204,-12,-9
941,1,AUTO,STRAIGHT(NO_CTRL),355,204,-12,-9
968,1,AUTO,STRAIGHT(NO_CTRL),355,204,-12,-9
1003,1,AUTO,STRAIGHT(NO_CTRL),353,203,-14,-10
1030,1,AUTO,STRAIGHT(NO_CTRL),353,203,-14,-10
1048,1,AUTO,STRAIGHT(NO_CTRL),352,201,-15,-12
1065,1,AUTO,STRAIGHT(NO_CTRL),352,201,-15,-12
1082,1,AUTO,STRAIGHT(NO_CTRL),352,201,-15,-12
1100,1,AUTO,STRAIGHT(NO_CTRL),352,201,-15,-12
1118,1,AUTO,STRAIGHT(NO_CTRL),351,200,-16,-13
1135,1,AUTO,STRAIGHT(NO_CTRL),351,200,-16,-13
1152,1,AUTO,STRAIGHT(NO_CTRL),351,200,-16,-13
1169,1,AUTO,STRAIGHT(NO_CTRL),349,199,-18,-14
1193,1,AUTO,STRAIGHT(NO_CTRL),349,199,-18,-14
1210,1,AUTO,STRAIGHT(NO_CTRL),349,199,-18,-14
1231,1,AUTO,STRAIGHT(NO_CTRL),349,199,-18,-14
1247,1,AUTO,STRAIGHT(NO_CTRL),349,199,-18,-14
1264,1,AUTO,STRAIGHT(NO_CTRL),347,198,-20,-15
1281,1,AUTO,STRAIGHT(NO_CTRL),347,198,-20,-15
