Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),315,285,0,0,0,0,-86.4
17,1,AUTO,STRAIGHT(NO_CTRL),316,284,1,-1,0.9,1.1,-88.2
33,1,AUTO,STRAIGHT(NO_CTRL),316,284,1,-1,0.9,1.1,-88.2
53,1,AUTO,STRAIGHT(NO_CTRL),316,284,1,-1,0.9,1.1,-88.2
71,1,AUTO,STRAIGHT(NO_CTRL),316,285,1,0,1,0.1,-90
87,1,AUTO,STRAIGHT(NO_CTRL),316,285,1,0,1,0.1,-90
105,1,AUTO,STRAIGHT(NO_CTRL),316,285,1,0,1,0.1,-88.3
121,1,AUTO,STRAIGHT(NO_CTRL),316,285,1,0,1,0.1,-88.3
139,1,AUTO,STRAIGHT(NO_CTRL),316,285,1,0,1,0.1,-88.2
156,1,AUTO,STRAIGHT(NO_CTRL),316,285,1,0,1,0.1,-90
173,1,AUTO,STRAIGHT(NO_CTRL),316,285,1,0,1,0.1,-90
190,1,AUTO,STRAIGHT(NO_CTRL),315,285,0,0,0,0,-88.3
207,1,AUTO,STRAIGHT(NO_CTRL),315,285,0,0,0,0,-88.3
223,1,AUTO,STRAIGHT(NO_CTRL),315,284,0,-1,-0.1,1,-88.2
241,1,AUTO,STRAIGHT(NO_CTRL),315,284,0,-1,-0.1,1,-88.2
261,1,AUTO,STRAIGHT(NO_CTRL),315,284,0,-1,-0.1,1,-88.2
279,1,AUTO,STRAIGHT(NO_CTRL),315,284,0,-1,-0.1,1,-88.2
297,1,AUTO,STRAIGHT(NO_CTRL),314,284,-1,-1,-1.1,0.9,-88.2
315,1,AUTO,STRAIGHT(NO_CTRL),314,284,-1,-1,-1.1,0.9,-88.2
332,1,AUTO,STRAIGHT(NO_CTRL),313,284,-2,-1,-2.1,0.9,-86.4
350,1,AUTO,STRAIGHT(NO_CTRL),312,284,-3,-1,-3.1,0.8,-86.4
368,1,AUTO,STRAIGHT(NO_CTRL),312,284,-3,-1,-3.1,0.8,-86.4
386,1,AUTO,STRAIGHT(NO_CTRL),311,284,-4,-1,-4.1,0.7,-86.4
405,1,AUTO,STRAIGHT(NO_CTRL),311,284,-4,-1,-4.1,0.7,-86.4
423,1,AUTO,STRAIGHT(NO_CTRL),310,284,-5,-1,-5.1,0.7,-86.4
454,1,AUTO,STRAIGHT(NO_CTRL),310,284,-5,-1,-5.1,0.7,-86.4
472,1,AUTO,STRAIGHT(NO_CTRL),309,283,-6,-2,-6.1,1.6,-86.4
490,1,AUTO,STRAIGHT(NO_CTRL),309,283,-6,-2,-6.1,1.6,-86.4
508,1,AUTO,STRAIGHT(NO_CTRL),308,283,-7,-2,-7.1,1.6,-84.6
526,1,AUTO,STRAIGHT(NO_CTRL),308,283,-7,-2,-7.1,1.6,-86.4
543,1,AUTO,STRAIGHT(NO_CTRL),308,283,-7,-2,-7.1,1.6,-86.4
562,1,AUTO,STRAIGHT(NO_CTRL),308,283,-7,-2,-7.1,1.6,-86.4
581,1,AUTO,STRAIGHT(NO_CTRL),307,283,-8,-2,-8.1,1.5,-86.4
598,1,AUTO,STRAIGHT(NO_CTRL),307,283,-8,-2,-8.1,1.5,-86.5
614,1,AUTO,STRAIGHT(NO_CTRL),307,283,-8,-2,-8.1,1.5,-86.5
631,1,AUTO,STRAIGHT(NO_CTRL),306,282,-9,-3,-9.2,2.4,-86.4
647,1,AUTO,STRAIGHT(NO_CTRL),306,282,-9,-3,-9.2,2.4,-86.4
664,1,AUTO,STRAIGHT(NO_CTRL),305,282,-10,-3,-10.2,2.4,-86.4
682,1,AUTO,STRAIGHT(NO_CTRL),305,282,-10,-3,-10.2,2.4,-86.4
701,1,AUTO,STRAIGHT(NO_CTRL),304,282,-11,-3,-11.2,2.3,-86.4
718,1,AUTO,STRAIGHT(NO_CTRL),304,282,-11,-3,-11.2,2.3,-86.5
735,1,AUTO,STRAIGHT(NO_CTRL),304,282,-11,-3,-11.2,2.3,-86.5
752,1,AUTO,STRAIGHT(NO_CTRL),303,281,-12,-4,-12.2,3.2,-86.4
770,1,AUTO,STRAIGHT(NO_CTRL),303,281,-12,-4,-12.2,3.2,-86.4
787,1,AUTO,STRAIGHT(NO_CTRL),303,281,-12,-4,-12.2,3.2,-88.3
805,1,AUTO,STRAIGHT(NO_CTRL),303,281,-12,-4,-12.2,3.2,-88.3
822,1,AUTO,STRAIGHT(NO_CTRL),303,281,-12,-4,-12.2,3.2,-88.3
841,1,AUTO,STRAIGHT(NO_CTRL),302,280,-13,-5,-13.3,4.2,-88.2
858,1,AUTO,STRAIGHT(NO_CTRL),302,280,-13,-5,-13.3,4.2,-88.2
878,1,AUTO,STRAIGHT(NO_CTRL),301,280,-14,-5,-14.3,4.1,-88.2
895,1,AUTO,STRAIGHT(NO_CTRL),300,280,-15,-5,-15.3,4.1,-86.4
913,1,AUTO,STRAIGHT(NO_CTRL),300,280,-15,-5,-15.3,4.1,-86.4
933,1,AUTO,STRAIGHT(NO_CTRL),299,280,-16,-5,-16.3,4,-86.5
967,1,AUTO,STRAIGHT(NO_CTRL),299,279,-16,-6,-16.3,5,-88.2
987,1,AUTO,STRAIGHT(NO_CTRL),299,279,-16,-6,-16.3,5,-88.2
1004,1,AUTO,STRAIGHT(NO_CTRL),298,279,-17,-6,-17.3,4.9,-88.2
1021,1,AUTO,STRAIGHT(NO_CTRL),297,279,-18,-6,-18.3,4.9,-88.3
1037,1,AUTO,STRAIGHT(NO_CTRL),297,279,-18,-6,-18.3,4.9,-88.3
1053,1,AUTO,STRAIGHT(NO_CTRL),296,279,-19,-6,-19.3,4.8,-88.3
1069,1,AUTO,STRAIGHT(NO_CTRL),296,279,-19,-6,-19.3,4.8,-88.3
1086,1,AUTO,STRAIGHT(NO_CTRL),296,278,-19,-7,-19.4,5.8,-90
1105,1,AUTO,STRAIGHT(NO_CTRL),296,278,-19,-7,-19.4,5.8,-90
1122,1,AUTO,STRAIGHT(NO_CTRL),295,278,-20,-7,-20.4,5.7,-90
1139,1,AUTO,STRAIGHT(NO_CTRL),295,278,-20,-7,-20.4,5.7,-90
1156,1,AUTO,STRAIGHT(NO_CTRL),293,278,-22,-7,-22.4,5.6,-88.2
1173,1,AUTO,STRAIGHT(NO_CTRL),293,278,-22,-7,-22.4,5.6,-88.2
1191,1,AUTO,STRAIGHT(NO_CTRL),292,278,-23,-7,-23.4,5.6,-88.3
1207,1,AUTO,STRAIGHT(NO_CTRL),292,278,-23,-7,-23.4,5.6,-88.3
1223,1,AUTO,STRAIGHT(NO_CTRL),292,278,-23,-7,-23.4,5.6,-88.3
1240,1,AUTO,STRAIGHT(NO_CTRL),292,278,-23,-7,-23.4,5.6,-90
1256,1,AUTO,STRAIGHT(NO_CTRL),292,278,-23,-7,-23.4,5.6,-90
1273,1,AUTO,STRAIGHT(NO_CTRL),291,277,-24,-8,-24.5,6.5,-90
1290,1,AUTO,STRAIGHT(NO_CTRL),291,277,-24,-8,-24.5,6.5,-90
1308,1,AUTO,STRAIGHT(NO_CTRL),290,277,-25,-8,-25.5,6.4,-90
1325,1,AUTO,STRAIGHT(NO_CTRL),289,277,-26,-8,-26.4,6.4,-90
1343,1,AUTO,STRAIGHT(NO_CTRL),289,277,-26,-8,-26.4,6.4,-90
1360,1,AUTO,STRAIGHT(NO_CTRL),288,276,-27,-9,-27.5,7.3,-88.2
1378,1,AUTO,STRAIGHT(NO_CTRL),288,276,-27,-9,-27.5,7.3,-88.2
