Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
18,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
41,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
63,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
79,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
95,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
115,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
138,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
162,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
180,1,AUTO,STRAIGHT(NO_CTRL),210,309,0,0
197,1,AUTO,STRAIGHT(NO_CTRL),211,309,1,0
214,1,AUTO,STRAIGHT(NO_CTRL),211,309,1,0
231,1,AUTO,STRAIGHT(NO_CTRL),211,309,1,0
249,1,AUTO,STRAIGHT(NO_CTRL),211,309,1,0
267,1,AUTO,STRAIGHT(NO_CTRL),211,312,1,3
286,1,AUTO,STRAIGHT(NO_CTRL),211,312,1,3
306,1,AUTO,STRAIGHT(NO_CTRL),211,312,1,3
324,1,AUTO,STRAIGHT(NO_CTRL),211,312,1,3
343,1,AUTO,STRAIGHT(NO_CTRL),212,314,2,5
362,1,AUTO,STRAIGHT(NO_CTRL),212,314,2,5
380,1,AUTO,STRAIGHT(NO_CTRL),212,314,2,5
399,1,AUTO,STRAIGHT(NO_CTRL),214,316,4,7
418,1,AUTO,STRAIGHT(NO_CTRL),214,316,4,7
438,1,AUTO,STRAIGHT(NO_CTRL),214,316,4,7
457,1,AUTO,STRAIGHT(NO_CTRL),214,317,4,8
474,1,AUTO,STRAIGHT(NO_CTRL),214,317,4,8
493,1,AUTO,STRAIGHT(NO_CTRL),214,317,4,8
511,1,AUTO,STRAIGHT(NO_CTRL),214,317,4,8
529,1,AUTO,STRAIGHT(NO_CTRL),215,319,5,10
546,1,AUTO,STRAIGHT(NO_CTRL),215,319,5,10
564,1,AUTO,STRAIGHT(NO_CTRL),215,319,5,10
582,1,AUTO,STRAIGHT(NO_CTRL),215,319,5,10
600,1,AUTO,STRAIGHT(NO_CTRL),216,321,6,12
616,1,AUTO,STRAIGHT(NO_CTRL),216,321,6,12
637,1,AUTO,STRAIGHT(NO_CTRL),216,321,6,12
655,1,AUTO,STRAIGHT(NO_CTRL),216,321,6,12
679,1,AUTO,STRAIGHT(NO_CTRL),217,323,7,14
703,1,AUTO,STRAIGHT(NO_CTRL),217,323,7,14
721,1,AUTO,STRAIGHT(NO_CTRL),217,323,7,14
739,1,AUTO,STRAIGHT(NO_CTRL),218,325,8,16
757,1,AUTO,STRAIGHT(NO_CTRL),218,325,8,16
777,1,AUTO,STRAIGHT(NO_CTRL),218,325,8,16
795,1,AUTO,STRAIGHT(NO_CTRL),218,327,8,18
813,1,AUTO,STRAIGHT(NO_CTRL),218,327,8,18
