Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
16,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
31,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
48,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
65,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
82,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
98,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
115,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
131,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
148,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
163,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
184,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
201,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
218,1,AUTO,STRAIGHT(NO_CTRL),260,223,0,0
234,1,AUTO,STRAIGHT(NO_CTRL),261,224,1,1
249,1,AUTO,STRAIGHT(NO_CTRL),261,224,1,1
266,1,AUTO,STRAIGHT(NO_CTRL),261,224,1,1
285,1,AUTO,STRAIGHT(NO_CTRL),261,224,1,1
302,1,AUTO,STRAIGHT(NO_CTRL),261,224,1,1
321,1,AUTO,STRAIGHT(NO_CTRL),261,226,1,3
336,1,AUTO,STRAIGHT(NO_CTRL),261,226,1,3
351,1,AUTO,STRAIGHT(NO_CTRL),261,226,1,3
368,1,AUTO,STRAIGHT(NO_CTRL),261,226,1,3
390,1,AUTO,STRAIGHT(NO_CTRL),262,227,2,4
406,1,AUTO,STRAIGHT(NO_CTRL),262,227,2,4
423,1,AUTO,STRAIGHT(NO_CTRL),262,227,2,4
437,1,AUTO,STRAIGHT(NO_CTRL),262,227,2,4
469,1,AUTO,STRAIGHT(NO_CTRL),263,228,3,5
488,1,AUTO,STRAIGHT(NO_CTRL),263,228,3,5
508,1,AUTO,STRAIGHT(NO_CTRL),263,228,3,5
525,1,AUTO,STRAIGHT(NO_CTRL),263,229,3,6
544,1,AUTO,STRAIGHT(NO_CTRL),263,229,3,6
560,1,AUTO,STRAIGHT(NO_CTRL),263,229,3,6
583,1,AUTO,STRAIGHT(NO_CTRL),264,230,4,7
597,1,AUTO,STRAIGHT(NO_CTRL),264,230,4,7
613,1,AUTO,STRAIGHT(NO_CTRL),264,230,4,7
628,1,AUTO,STRAIGHT(NO_CTRL),264,230,4,7
646,1,AUTO,STRAIGHT(NO_CTRL),265,231,5,8
662,1,AUTO,STRAIGHT(NO_CTRL),265,231,5,8
678,1,AUTO,STRAIGHT(NO_CTRL),265,231,5,8
694,1,AUTO,STRAIGHT(NO_CTRL),265,231,5,8
