Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
20,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
37,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
54,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
77,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
107,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
124,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
143,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
159,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
176,1,AUTO,STRAIGHT(NO_CTRL),266,284,0,0,0,0,-54.9
193,1,AUTO,STRAIGHT(NO_CTRL),266,285,0,1,0.6,-0.8,-54.9
209,1,AUTO,STRAIGHT(NO_CTRL),266,285,0,1,0.6,-0.8,-54.9
227,1,AUTO,STRAIGHT(NO_CTRL),265,286,-1,2,0.3,-2.2,-54.9
245,1,AUTO,STRAIGHT(NO_CTRL),265,286,-1,2,0.3,-2.2,-54.9
261,1,AUTO,STRAIGHT(NO_CTRL),265,286,-1,2,0.3,-2.2,-54.9
280,1,AUTO,STRAIGHT(NO_CTRL),265,287,-1,3,0.9,-3,-54.9
296,1,AUTO,STRAIGHT(NO_CTRL),265,287,-1,3,0.9,-3,-54.9
314,1,AUTO,STRAIGHT(NO_CTRL),264,288,-2,4,0.7,-4.4,-53.5
332,1,AUTO,STRAIGHT(NO_CTRL),264,288,-2,4,0.7,-4.4,-53.5
351,1,AUTO,STRAIGHT(NO_CTRL),264,289,-2,5,1.2,-5.2,-53.5
368,1,AUTO,STRAIGHT(NO_CTRL),264,289,-2,5,1.2,-5.2,-53.5
387,1,AUTO,STRAIGHT(NO_CTRL),264,290,-2,6,1.8,-6.1,-53.5
404,1,AUTO,STRAIGHT(NO_CTRL),264,290,-2,6,1.8,-6.1,-53.5
421,1,AUTO,STRAIGHT(NO_CTRL),264,290,-2,6,1.8,-6.1,-53.5
439,1,AUTO,STRAIGHT(NO_CTRL),264,291,-2,7,2.4,-6.9,-54.9
457,1,AUTO,STRAIGHT(NO_CTRL),264,291,-2,7,2.4,-6.9,-54.9
475,1,AUTO,STRAIGHT(NO_CTRL),264,291,-2,7,2.4,-6.9,-54.9
493,1,AUTO,STRAIGHT(NO_CTRL),263,292,-3,8,2.2,-8.3,-53.5
510,1,AUTO,STRAIGHT(NO_CTRL),263,292,-3,8,2.2,-8.3,-53.5
535,1,AUTO,STRAIGHT(NO_CTRL),263,293,-3,9,2.7,-9.1,-53.5
554,1,AUTO,STRAIGHT(NO_CTRL),263,293,-3,9,2.7,-9.1,-52.4
571,1,AUTO,STRAIGHT(NO_CTRL),263,293,-3,9,2.7,-9.1,-52.4
591,1,AUTO,STRAIGHT(NO_CTRL),263,294,-3,10,3.3,-9.9,-53.5
621,1,AUTO,STRAIGHT(NO_CTRL),263,295,-3,11,3.9,-10.7,-53.5
639,1,AUTO,STRAIGHT(NO_CTRL),263,295,-3,11,3.9,-10.7,-53.5
658,1,AUTO,STRAIGHT(NO_CTRL),262,296,-4,12,3.6,-12.1,-53.5
675,1,AUTO,STRAIGHT(NO_CTRL),262,296,-4,12,3.6,-12.1,-52.4
692,1,AUTO,STRAIGHT(NO_CTRL),262,296,-4,12,3.6,-12.1,-52.4
709,1,AUTO,STRAIGHT(NO_CTRL),262,297,-4,13,4.2,-12.9,-52.4
725,1,AUTO,STRAIGHT(NO_CTRL),262,297,-4,13,4.2,-12.9,-52.4
741,1,AUTO,STRAIGHT(NO_CTRL),262,298,-4,14,4.8,-13.8,-52.4
759,1,AUTO,STRAIGHT(NO_CTRL),262,298,-4,14,4.8,-13.8,-52.4
778,1,AUTO,STRAIGHT(NO_CTRL),261,299,-5,15,4.5,-15.1,-52.1
795,1,AUTO,STRAIGHT(NO_CTRL),261,299,-5,15,4.5,-15.1,-52.1
812,1,AUTO,STRAIGHT(NO_CTRL),261,299,-5,15,4.5,-15.1,-51.1
829,1,AUTO,STRAIGHT(NO_CTRL),261,299,-5,15,4.5,-15.1,-51.1
846,1,AUTO,STRAIGHT(NO_CTRL),261,300,-5,16,5.1,-16,-52.4
862,1,AUTO,STRAIGHT(NO_CTRL),261,300,-5,16,5.1,-16,-52.4
880,1,AUTO,STRAIGHT(NO_CTRL),261,300,-5,16,5.1,-16,-52.4
898,1,AUTO,STRAIGHT(NO_CTRL),260,300,-6,16,4.3,-16.5,-51.1
915,1,AUTO,STRAIGHT(NO_CTRL),260,301,-6,17,4.9,-17.4,-52.4
933,1,AUTO,STRAIGHT(NO_CTRL),260,301,-6,17,4.9,-17.4,-52.4
951,1,AUTO,STRAIGHT(NO_CTRL),259,302,-7,18,4.6,-18.7,-51.1
970,1,AUTO,STRAIGHT(NO_CTRL),259,302,-7,18,4.6,-18.7,-51.1
988,1,AUTO,STRAIGHT(NO_CTRL),259,302,-7,18,4.6,-18.7,-51.1
1005,1,AUTO,STRAIGHT(NO_CTRL),259,302,-7,18,4.6,-18.7,-51.1
1022,1,AUTO,STRAIGHT(NO_CTRL),258,303,-8,19,4.4,-20.1,-51.1
1038,1,AUTO,STRAIGHT(NO_CTRL),258,303,-8,19,4.4,-20.1,-51.1
1055,1,AUTO,STRAIGHT(NO_CTRL),258,303,-8,19,4.4,-20.1,-50
1071,1,AUTO,STRAIGHT(NO_CTRL),258,303,-8,19,4.4,-20.1,-50
1092,1,AUTO,STRAIGHT(NO_CTRL),257,304,-9,20,4.1,-21.5,-49.8
1112,1,AUTO,STRAIGHT(NO_CTRL),257,304,-9,20,4.1,-21.5,-50
1140,1,AUTO,STRAIGHT(NO_CTRL),256,305,-10,21,3.9,-22.9,-49.8
1158,1,AUTO,STRAIGHT(NO_CTRL),256,305,-10,21,3.9,-22.9,-49.8
1175,1,AUTO,STRAIGHT(NO_CTRL),256,305,-10,21,3.9,-22.9,-48.7
