Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
19,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
50,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
70,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
88,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
108,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
128,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
147,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
166,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
185,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
203,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
225,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
246,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
263,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
281,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
299,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
318,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
336,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
355,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
375,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
396,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
415,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
443,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
461,1,UP,STRAIGHT(NO_CTRL),137,186,0,0
477,1,UP,STRAIGHT(NO_CTRL),137,185,0,-1
495,1,UP,STRAIGHT(NO_CTRL),137,185,0,-1
513,1,UP,STRAIGHT(NO_CTRL),137,185,0,-1
530,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
549,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
577,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
594,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
615,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
637,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
660,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
677,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
696,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
715,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
732,1,UP,STRAIGHT(NO_CTRL),138,185,1,-1
752,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
773,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
793,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
813,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
836,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
856,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
874,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
894,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
917,1,UP,STRAIGHT(NO_CTRL),138,184,1,-2
939,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
958,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
982,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1001,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1023,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1045,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1063,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1083,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1101,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1134,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1153,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1171,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1189,1,UP,STRAIGHT(NO_CTRL),139,183,2,-3
1206,1,UP,STRAIGHT(NO_CTRL),139,182,2,-4
1224,1,UP,STRAIGHT(NO_CTRL),139,182,2,-4
1243,1,UP,STRAIGHT(NO_CTRL),139,182,2,-4
1261,1,UP,STRAIGHT(NO_CTRL),139,182,2,-4
1279,1,UP,STRAIGHT(NO_CTRL),139,182,2,-4
1298,1,UP,STRAIGHT(NO_CTRL),139,182,2,-4
1316,1,UP,STRAIGHT(NO_CTRL),139,182,2,-4
1333,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1351,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1370,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1388,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1404,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1423,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1444,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1465,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1483,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1501,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1524,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1545,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1576,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1593,1,UP,STRAIGHT(NO_CTRL),140,182,3,-4
1611,1,UP,STRAIGHT(NO_CTRL),140,181,3,-5
1629,1,UP,STRAIGHT(NO_CTRL),140,181,3,-5
1649,1,UP,STRAIGHT(NO_CTRL),140,181,3,-5
1665,1,UP,STRAIGHT(NO_CTRL),140,181,3,-5
1683,1,UP,STRAIGHT(NO_CTRL),140,181,3,-5
1701,1,UP,STRAIGHT(NO_CTRL),140,181,3,-5
1721,1,UP,STRAIGHT(NO_CTRL),140,181,3,-5
1740,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1758,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1777,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1795,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1813,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1831,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1850,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1868,1,UP,STRAIGHT(NO_CTRL),141,181,4,-5
1887,1,UP,STRAIGHT(NO_CTRL),141,180,4,-6
1909,1,UP,STRAIGHT(NO_CTRL),141,180,4,-6
1932,1,UP,STRAIGHT(NO_CTRL),141,180,4,-6
1951,1,UP,STRAIGHT(NO_CTRL),142,180,5,-6
1972,1,UP,STRAIGHT(NO_CTRL),142,180,5,-6
1991,1,UP,STRAIGHT(NO_CTRL),142,180,5,-6
2013,1,UP,STRAIGHT(NO_CTRL),142,180,5,-6
2031,1,UP,STRAIGHT(NO_CTRL),142,180,5,-6
2084,1,UP,STRAIGHT(NO_CTRL),142,179,5,-7
2134,1,UP,STRAIGHT(NO_CTRL),142,179,5,-7
2192,1,UP,STRAIGHT(NO_CTRL),142,179,5,-7
2235,1,UP,STRAIGHT(NO_CTRL),142,179,5,-7
2283,1,UP,STRAIGHT(NO_CTRL),142,179,5,-7
2339,1,UP,STRAIGHT(NO_CTRL),142,179,5,-7
2394,1,UP,STRAIGHT(NO_CTRL),142,178,5,-8
2437,1,UP,STRAIGHT(NO_CTRL),143,178,6,-8
2466,1,UP,STRAIGHT(NO_CTRL),143,178,6,-8
2496,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2517,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2547,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2568,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2592,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2613,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2639,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2661,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2681,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2709,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2729,1,UP,STRAIGHT(NO_CTRL),143,177,6,-9
2752,1,UP,STRAIGHT(NO_CTRL),143,176,6,-10
2778,1,UP,STRAIGHT(NO_CTRL),143,176,6,-10
2798,1,UP,STRAIGHT(NO_CTRL),143,176,6,-10
2817,1,UP,STRAIGHT(NO_CTRL),143,176,6,-10
2844,1,UP,STRAIGHT(NO_CTRL),143,176,6,-10
2870,1,UP,STRAIGHT(NO_CTRL),143,176,6,-10
2906,1,UP,STRAIGHT(NO_CTRL),143,176,6,-10
2947,1,UP,STRAIGHT(NO_CTRL),144,175,7,-11
2967,1,UP,STRAIGHT(NO_CTRL),144,175,7,-11
3004,1,UP,STRAIGHT(NO_CTRL),144,175,7,-11
3042,1,UP,STRAIGHT(NO_CTRL),144,175,7,-11
3101,1,UP,STRAIGHT(NO_CTRL),144,175,7,-11
3130,1,UP,STRAIGHT(NO_CTRL),144,175,7,-11
3149,1,UP,STRAIGHT(NO_CTRL),144,174,7,-12
3170,1,UP,STRAIGHT(NO_CTRL),144,174,7,-12
3189,1,UP,STRAIGHT(NO_CTRL),144,174,7,-12
3209,1,UP,STRAIGHT(NO_CTRL),145,174,8,-12
3230,1,UP,STRAIGHT(NO_CTRL),145,174,8,-12
3250,1,UP,STRAIGHT(NO_CTRL),145,174,8,-12
3267,1,UP,STRAIGHT(NO_CTRL),145,174,8,-12
3286,1,UP,STRAIGHT(NO_CTRL),145,174,8,-12
