Time(ms),Input,PixelX,PixelY,Angle(deg)
17,▲,415,349,undefined
38,▲,416,350,undefined
57,▲,416,350,undefined
77,▲,416,350,undefined
99,▲,416,350,undefined
118,▲,416,350,undefined
136,▲,416,350,undefined
155,▲,416,350,undefined
175,▲,416,350,undefined
191,▲,416,350,undefined
212,▲,416,350,undefined
233,▲,416,350,undefined
250,▲,416,349,undefined
267,▲,416,349,undefined
291,▲,416,349,undefined
311,▲,415,349,undefined
329,▲,415,349,undefined
355,▲,415,349,undefined
377,▲,413,347,undefined
395,▲,413,347,undefined
412,▲,413,347,undefined
429,▲,412,346,undefined
445,▲,412,346,undefined
463,▲,412,346,undefined
482,▲,412,346,undefined
501,▲,412,346,undefined
520,▲,411,345,undefined
540,▲,411,345,undefined
559,▲,411,345,undefined
579,▲,411,344,undefined
596,▲,411,344,undefined
612,▲,411,344,undefined
630,▲,411,344,undefined
649,▲,410,343,undefined
667,▲,410,343,undefined
689,▲,410,343,undefined
707,▲,409,342,undefined
726,▲,409,342,undefined
744,▲,409,342,undefined
763,▲,409,342,undefined
780,▲,409,341,undefined
799,▲,409,341,undefined
817,▲,409,341,undefined
840,▲,408,340,undefined
857,▲,408,340,undefined
876,▲,408,340,undefined
896,▲,408,340,undefined
914,▲,408,339,undefined
932,▲,408,339,undefined
951,▲,408,339,undefined
968,▲,408,339,undefined
988,▲,407,338,undefined
1006,▲,407,338,undefined
1022,▲,407,338,undefined
1038,▲,406,338,undefined
1054,▲,406,338,undefined
1070,▲,406,338,undefined
1086,▲,406,338,undefined
1103,▲,405,337,undefined
1119,▲,405,337,undefined
1135,▲,405,337,undefined
1151,▲,405,337,undefined
1171,▲,405,336,undefined
1189,▲,405,336,undefined
1215,▲,405,336,undefined
1239,▲,404,335,undefined
1255,▲,404,335,undefined
1271,▲,404,335,undefined
1286,▲,404,335,undefined
1302,▲,404,335,undefined
1319,▲,403,334,undefined
1337,▲,403,334,undefined
1359,▲,403,334,undefined
1376,▲,403,333,undefined
1396,▲,403,333,undefined
1413,▲,403,333,undefined
1429,▲,403,333,undefined
1450,▲,402,332,undefined
1471,▲,402,332,undefined
1491,▲,402,332,undefined
1511,▲,401,331,undefined
1528,▲,401,331,undefined
1547,▲,401,331,undefined
1567,▲,401,330,undefined
1586,▲,401,330,undefined
1604,▲,401,330,undefined
1623,▲,401,330,undefined
1644,▲,400,329,undefined
1661,▲,400,329,undefined
1681,▲,400,329,undefined
1700,▲,400,329,undefined
1718,▲,400,328,undefined
1739,▲,400,328,undefined
1765,▲,400,328,undefined
1786,▲,399,327,undefined
1803,▲,399,327,undefined
1819,▲,399,327,undefined
1835,▲,399,326,undefined
1857,▲,399,326,undefined
1877,▲,399,326,undefined
1893,▲,399,326,undefined
1911,▲,398,325,undefined
1927,▲,398,325,undefined
1942,▲,398,325,undefined
1959,▲,398,325,undefined
1978,▲,397,324,undefined
1994,▲,397,324,undefined
2014,▲,397,324,undefined
2032,▲,397,323,undefined
2048,▲,397,323,undefined
2066,▲,397,323,undefined
2083,▲,397,323,undefined
2100,▲,397,323,undefined
2119,▲,397,322,undefined
2138,▲,397,322,undefined
2159,▲,397,322,undefined
2178,▲,396,321,undefined
2196,▲,396,321,undefined
2212,▲,396,321,undefined
2230,▲,396,321,undefined
2247,▲,396,320,undefined
2268,▲,396,320,undefined
2292,▲,396,320,undefined
2312,▲,396,319,undefined
2328,▲,396,319,undefined
2349,▲,396,319,undefined
2367,▲,395,318,undefined
2387,▲,395,318,undefined
2406,▲,395,318,undefined
2426,▲,395,318,undefined
2443,▲,395,317,undefined
2462,▲,395,317,undefined
2481,▲,395,317,undefined
2497,▲,395,317,undefined
2514,▲,394,316,undefined
2535,▲,394,316,undefined
2552,▲,394,316,undefined
2574,▲,394,315,undefined
2593,▲,394,315,undefined
2611,▲,394,315,undefined
2632,▲,394,315,undefined
2649,▲,394,314,undefined
2668,▲,394,314,undefined
2687,▲,394,314,undefined
2702,▲,393,313,undefined
2718,▲,393,313,undefined
2735,▲,393,313,undefined
2760,▲,393,313,undefined
2778,▲,393,312,undefined
2796,▲,393,312,undefined
2816,▲,393,312,undefined
2839,▲,393,311,undefined
2859,▲,393,311,undefined
2874,▲,393,311,undefined
2891,▲,393,311,undefined
2911,▲,392,310,undefined
2932,▲,392,310,undefined
2948,▲,392,310,undefined
2964,▲,392,310,undefined
2984,▲,392,309,undefined
3000,▲,392,309,undefined
