Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
18,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
42,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
71,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
88,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
108,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
132,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
158,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
185,1,AUTO,STRAIGHT(NO_CTRL),305,339,0,0
203,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
222,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
246,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
277,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
302,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
326,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
350,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
369,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
412,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
442,1,AUTO,STRAIGHT(NO_CTRL),305,338,0,-1
465,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
486,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
506,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
525,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
545,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
569,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
591,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
613,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
630,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
646,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
663,1,AUTO,STRAIGHT(NO_CTRL),305,337,0,-2
687,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
704,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
723,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
743,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
761,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
779,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
797,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
814,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
831,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
849,1,AUTO,STRAIGHT(NO_CTRL),305,336,0,-3
865,1,AUTO,STRAIGHT(NO_CTRL),305,335,0,-4
882,1,AUTO,STRAIGHT(NO_CTRL),305,335,0,-4
