Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
33,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
63,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
94,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
124,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
148,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
176,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
201,1,AUTO,STRAIGHT(NO_CTRL),306,264,1,0,1,0.1,-88.3
224,1,AUTO,STRAIGHT(NO_CTRL),306,264,1,0,1,0.1,-88.3
253,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
290,1,AUTO,STRAIGHT(NO_CTRL),305,264,0,0,0,0,-86.5
327,1,AUTO,STRAIGHT(NO_CTRL),304,263,-1,-1,-1.1,0.9,-84.6
359,1,AUTO,STRAIGHT(NO_CTRL),304,263,-1,-1,-1.1,0.9,-84.8
385,1,AUTO,STRAIGHT(NO_CTRL),304,263,-1,-1,-1.1,0.9,-86.5
412,1,AUTO,STRAIGHT(NO_CTRL),304,263,-1,-1,-1.1,0.9,-86.5
437,1,AUTO,STRAIGHT(NO_CTRL),303,262,-2,-2,-2.1,1.9,-84.8
462,1,AUTO,STRAIGHT(NO_CTRL),303,262,-2,-2,-2.1,1.9,-84.8
487,1,AUTO,STRAIGHT(NO_CTRL),303,262,-2,-2,-2.1,1.9,-84.8
511,1,AUTO,STRAIGHT(NO_CTRL),303,261,-2,-3,-2.2,2.9,-84.6
536,1,AUTO,STRAIGHT(NO_CTRL),302,261,-3,-3,-3.2,2.8,-83.1
575,1,AUTO,STRAIGHT(NO_CTRL),302,261,-3,-3,-3.2,2.8,-84.8
601,1,AUTO,STRAIGHT(NO_CTRL),302,260,-3,-4,-3.2,3.8,-84.8
625,1,AUTO,STRAIGHT(NO_CTRL),302,260,-3,-4,-3.2,3.8,-84.8
653,1,AUTO,STRAIGHT(NO_CTRL),302,260,-3,-4,-3.2,3.8,-84.8
686,1,AUTO,STRAIGHT(NO_CTRL),301,259,-4,-5,-4.3,4.7,-84.6
711,1,AUTO,STRAIGHT(NO_CTRL),301,259,-4,-5,-4.3,4.7,-84.8
736,1,AUTO,STRAIGHT(NO_CTRL),301,259,-4,-5,-4.3,4.7,-84.8
760,1,AUTO,STRAIGHT(NO_CTRL),300,259,-5,-5,-5.3,4.7,-83.1
792,1,AUTO,STRAIGHT(NO_CTRL),300,258,-5,-6,-5.4,5.7,-84.8
824,1,AUTO,STRAIGHT(NO_CTRL),299,258,-6,-6,-6.4,5.6,-83.1
853,1,AUTO,STRAIGHT(NO_CTRL),299,257,-6,-7,-6.4,6.6,-84.6
879,1,AUTO,STRAIGHT(NO_CTRL),298,257,-7,-7,-7.4,6.6,-83.1
904,1,AUTO,STRAIGHT(NO_CTRL),298,257,-7,-7,-7.4,6.6,-84.8
927,1,AUTO,STRAIGHT(NO_CTRL),298,257,-7,-7,-7.4,6.6,-84.8
953,1,AUTO,STRAIGHT(NO_CTRL),297,256,-8,-8,-8.5,7.5,-82.9
977,1,AUTO,STRAIGHT(NO_CTRL),297,256,-8,-8,-8.5,7.5,-84.8
1002,1,AUTO,STRAIGHT(NO_CTRL),296,256,-9,-8,-9.5,7.4,-83.1
1028,1,AUTO,STRAIGHT(NO_CTRL),296,255,-9,-9,-9.5,8.4,-82.9
1054,1,AUTO,STRAIGHT(NO_CTRL),296,255,-9,-9,-9.5,8.4,-82.9
1072,1,AUTO,STRAIGHT(NO_CTRL),296,255,-9,-9,-9.5,8.4,-84.8
1089,1,AUTO,STRAIGHT(NO_CTRL),296,255,-9,-9,-9.5,8.4,-84.8
1105,1,AUTO,STRAIGHT(NO_CTRL),295,255,-10,-9,-10.5,8.4,-83.1
1128,1,AUTO,STRAIGHT(NO_CTRL),295,255,-10,-9,-10.5,8.4,-83.1
1146,1,AUTO,STRAIGHT(NO_CTRL),295,254,-10,-10,-10.6,9.4,-82.9
1162,1,AUTO,STRAIGHT(NO_CTRL),295,254,-10,-10,-10.6,9.4,-82.9
1188,1,AUTO,STRAIGHT(NO_CTRL),295,254,-10,-10,-10.6,9.4,-83.1
1208,1,AUTO,STRAIGHT(NO_CTRL),295,254,-10,-10,-10.6,9.4,-83.1
1234,1,AUTO,STRAIGHT(NO_CTRL),295,254,-10,-10,-10.6,9.4,-83.1
1275,1,AUTO,STRAIGHT(NO_CTRL),294,253,-11,-11,-11.6,10.3,-81.1
1305,1,AUTO,STRAIGHT(NO_CTRL),294,253,-11,-11,-11.6,10.3,-82.9
1323,1,AUTO,STRAIGHT(NO_CTRL),294,253,-11,-11,-11.6,10.3,-82.9
