Time(ms),Input,RawX,RawY,RelX,RelY
25,DOWN,127,151,0,0
50,DOWN,127,151,0,0
74,DOWN,127,151,0,0
93,DOWN,127,151,0,0
115,DOWN,127,151,0,0
139,DOWN,127,151,0,0
159,DOWN,127,151,0,0
180,DOWN,127,151,0,0
200,DOWN,127,151,0,0
223,DOWN,127,151,0,0
248,DOWN,127,151,0,0
271,DOWN,127,151,0,0
292,DOWN,127,151,0,0
313,DOWN,127,151,0,0
333,DOWN,127,150,0,-1
361,DOWN,127,150,0,-1
393,DOWN,127,150,0,-1
428,DOWN,127,149,0,-2
461,DOWN,127,149,0,-2
482,DOWN,127,148,0,-3
500,DOWN,127,148,0,-3
520,DOWN,127,148,0,-3
538,DOWN,127,147,0,-4
554,DOWN,127,147,0,-4
572,DOWN,127,147,0,-4
590,DOWN,127,147,0,-4
609,DOWN,127,147,0,-4
627,DOWN,127,147,0,-4
645,DOWN,127,147,0,-4
661,DOWN,127,146,0,-5
684,DOWN,127,146,0,-5
710,DOWN,127,146,0,-5
726,DOWN,127,145,0,-6
744,DOWN,127,145,0,-6
761,DOWN,127,145,0,-6
779,DOWN,127,145,0,-6
808,DOWN,127,145,0,-6
827,DOWN,127,144,0,-7
846,DOWN,127,144,0,-7
863,DOWN,127,144,0,-7
880,DOWN,127,143,0,-8
899,DOWN,127,143,0,-8
919,DOWN,127,143,0,-8
935,DOWN,127,142,0,-9
958,DOWN,127,142,0,-9
1019,DOWN,127,142,0,-9
1048,DOWN,128,141,1,-10
1066,DOWN,128,141,1,-10
1089,DOWN,128,141,1,-10
1114,DOWN,128,141,1,-10
1136,DOWN,128,140,1,-11
1159,DOWN,128,140,1,-11
1177,DOWN,128,140,1,-11
1194,DOWN,128,140,1,-11
1211,DOWN,128,139,1,-12
1228,DOWN,128,139,1,-12
1245,DOWN,128,139,1,-12
1263,DOWN,128,139,1,-12
1281,DOWN,128,138,1,-13
1300,DOWN,128,138,1,-13
1320,DOWN,128,138,1,-13
1338,DOWN,128,138,1,-13
1356,DOWN,128,138,1,-13
1376,DOWN,128,138,1,-13
1395,DOWN,128,138,1,-13
1410,DOWN,128,137,1,-14
1428,DOWN,128,137,1,-14
1447,DOWN,128,137,1,-14
1467,DOWN,128,136,1,-15
1487,DOWN,128,136,1,-15
1509,DOWN,128,136,1,-15
1530,DOWN,129,135,2,-16
1557,DOWN,129,135,2,-16
1610,DOWN,129,135,2,-16
1628,DOWN,129,134,2,-17
1645,DOWN,129,134,2,-17
1668,DOWN,129,133,2,-18
1699,DOWN,129,133,2,-18
1897,DOWN,129,130,2,-21
1921,DOWN,129,130,2,-21
1940,DOWN,129,130,2,-21
1958,DOWN,129,130,2,-21
1975,DOWN,129,130,2,-21
1995,DOWN,129,130,2,-21
2013,DOWN,129,129,2,-22
2032,DOWN,129,129,2,-22
2054,DOWN,129,129,2,-22
2072,DOWN,129,128,2,-23
2091,DOWN,129,128,2,-23
2109,DOWN,129,128,2,-23
2127,DOWN,129,128,2,-23
2144,DOWN,129,127,2,-24
2163,DOWN,129,127,2,-24
2181,DOWN,129,127,2,-24
2198,DOWN,129,126,2,-25
2216,DOWN,129,126,2,-25
2235,DOWN,129,126,2,-25
2253,DOWN,129,126,2,-25
2270,DOWN,129,126,2,-25
2289,DOWN,129,126,2,-25
2316,DOWN,129,126,2,-25
2340,DOWN,130,125,3,-26
2358,DOWN,130,125,3,-26
2379,DOWN,130,125,3,-26
2398,DOWN,130,125,3,-26
2416,DOWN,130,124,3,-27
2436,DOWN,130,124,3,-27
2457,DOWN,130,124,3,-27
2474,DOWN,130,123,3,-28
2492,DOWN,130,123,3,-28
2510,DOWN,130,123,3,-28
2529,DOWN,130,123,3,-28
2546,DOWN,130,122,3,-29
2564,DOWN,130,122,3,-29
2583,DOWN,130,122,3,-29
2600,DOWN,130,121,3,-30
2618,DOWN,130,121,3,-30
2636,DOWN,130,121,3,-30
2654,DOWN,130,121,3,-30
2671,DOWN,130,120,3,-31
2691,DOWN,130,120,3,-31
2715,DOWN,130,120,3,-31
2735,DOWN,131,119,4,-32
2755,DOWN,131,119,4,-32
2778,DOWN,131,119,4,-32
2796,DOWN,131,119,4,-32
2813,DOWN,131,118,4,-33
2832,DOWN,131,118,4,-33
2856,DOWN,131,118,4,-33
2886,DOWN,131,117,4,-34
2902,DOWN,131,117,4,-34
2919,DOWN,131,117,4,-34
2936,DOWN,131,116,4,-35
2954,DOWN,131,116,4,-35
2972,DOWN,131,116,4,-35
2990,DOWN,131,116,4,-35
3007,DOWN,132,116,5,-35
3025,DOWN,132,116,5,-35
