Time(ms),Input,RawX,RawY,RelX,RelY
18,LEFT,126,139,0,0
43,LEFT,126,139,0,0
64,LEFT,126,139,0,0
83,LEFT,126,139,0,0
101,LEFT,126,139,0,0
121,LEFT,126,139,0,0
147,LEFT,126,139,0,0
162,LEFT,126,139,0,0
179,LEFT,126,139,0,0
198,LEFT,126,139,0,0
215,LEFT,126,139,0,0
234,LEFT,126,139,0,0
252,LEFT,126,139,0,0
271,LEFT,126,139,0,0
288,LEFT,126,139,0,0
305,LEFT,126,139,0,0
323,LEFT,126,139,0,0
341,LEFT,126,139,0,0
357,LEFT,126,139,0,0
375,LEFT,126,139,0,0
394,LEFT,126,139,0,0
411,LEFT,126,139,0,0
429,LEFT,126,139,0,0
451,LEFT,126,139,0,0
472,LEFT,126,139,0,0
491,LEFT,126,139,0,0
508,LEFT,126,139,0,0
525,LEFT,126,139,0,0
545,LEFT,126,139,0,0
562,LEFT,126,138,0,-1
580,LEFT,126,138,0,-1
598,LEFT,126,138,0,-1
616,LEFT,126,138,0,-1
639,LEFT,126,138,0,-1
663,LEFT,126,138,0,-1
687,LEFT,126,138,0,-1
703,LEFT,126,138,0,-1
720,LEFT,126,138,0,-1
739,LEFT,126,138,0,-1
757,LEFT,126,138,0,-1
775,LEFT,126,138,0,-1
796,LEFT,126,138,0,-1
811,LEFT,126,138,0,-1
830,LEFT,126,138,0,-1
850,LEFT,126,138,0,-1
869,LEFT,126,138,0,-1
889,LEFT,126,138,0,-1
907,LEFT,126,137,0,-2
926,LEFT,126,137,0,-2
945,LEFT,126,137,0,-2
963,LEFT,126,137,0,-2
982,LEFT,126,137,0,-2
1000,LEFT,126,137,0,-2
1018,LEFT,126,137,0,-2
1037,LEFT,126,137,0,-2
1056,LEFT,126,137,0,-2
1074,LEFT,126,137,0,-2
1092,LEFT,126,137,0,-2
1111,LEFT,126,137,0,-2
1131,LEFT,126,137,0,-2
1148,LEFT,126,137,0,-2
1170,LEFT,126,137,0,-2
1197,LEFT,126,137,0,-2
1220,LEFT,126,137,0,-2
1237,LEFT,126,137,0,-2
1256,LEFT,126,137,0,-2
1274,LEFT,126,137,0,-2
1290,LEFT,126,137,0,-2
1309,LEFT,126,137,0,-2
1327,LEFT,126,137,0,-2
1347,LEFT,126,137,0,-2
1364,LEFT,125,137,-1,-2
1383,LEFT,125,137,-1,-2
1403,LEFT,125,137,-1,-2
1420,LEFT,125,136,-1,-3
1438,LEFT,125,136,-1,-3
1462,LEFT,125,136,-1,-3
1482,LEFT,125,136,-1,-3
1499,LEFT,125,136,-1,-3
1517,LEFT,125,136,-1,-3
1536,LEFT,125,136,-1,-3
1554,LEFT,125,136,-1,-3
1571,LEFT,125,136,-1,-3
1589,LEFT,125,136,-1,-3
1608,LEFT,125,136,-1,-3
1626,LEFT,125,136,-1,-3
1645,LEFT,125,136,-1,-3
1664,LEFT,125,136,-1,-3
1683,LEFT,125,136,-1,-3
1704,LEFT,125,136,-1,-3
1722,LEFT,125,136,-1,-3
1741,LEFT,125,136,-1,-3
1762,LEFT,125,136,-1,-3
1779,LEFT,125,136,-1,-3
1798,LEFT,125,136,-1,-3
1816,LEFT,125,136,-1,-3
1834,LEFT,125,136,-1,-3
1852,LEFT,125,136,-1,-3
1877,LEFT,125,136,-1,-3
1894,LEFT,125,136,-1,-3
1913,LEFT,125,136,-1,-3
1933,LEFT,125,136,-1,-3
1949,LEFT,125,136,-1,-3
1965,LEFT,125,136,-1,-3
1983,LEFT,125,136,-1,-3
2002,LEFT,125,136,-1,-3
2022,LEFT,125,136,-1,-3
2041,LEFT,125,136,-1,-3
2058,LEFT,125,136,-1,-3
2074,LEFT,125,136,-1,-3
2091,LEFT,125,136,-1,-3
2109,LEFT,125,136,-1,-3
2127,LEFT,125,136,-1,-3
2145,LEFT,125,136,-1,-3
2160,LEFT,125,136,-1,-3
2177,LEFT,125,136,-1,-3
2195,LEFT,125,136,-1,-3
2213,LEFT,125,136,-1,-3
2231,LEFT,125,136,-1,-3
2252,LEFT,125,136,-1,-3
2276,LEFT,125,136,-1,-3
2291,LEFT,125,136,-1,-3
2316,LEFT,125,136,-1,-3
2338,LEFT,125,136,-1,-3
2355,LEFT,125,136,-1,-3
2374,LEFT,125,136,-1,-3
2393,LEFT,125,136,-1,-3
2413,LEFT,125,136,-1,-3
2432,LEFT,125,136,-1,-3
2450,LEFT,125,136,-1,-3
2469,LEFT,125,136,-1,-3
2495,LEFT,125,136,-1,-3
2512,LEFT,125,136,-1,-3
2532,LEFT,125,136,-1,-3
2551,LEFT,125,136,-1,-3
2568,LEFT,125,136,-1,-3
2586,LEFT,125,136,-1,-3
2605,LEFT,125,136,-1,-3
2620,LEFT,125,136,-1,-3
2639,LEFT,125,136,-1,-3
2659,LEFT,125,136,-1,-3
2677,LEFT,125,136,-1,-3
2694,LEFT,125,136,-1,-3
2712,LEFT,125,136,-1,-3
2731,LEFT,125,136,-1,-3
2748,LEFT,125,136,-1,-3
2766,LEFT,125,136,-1,-3
2788,LEFT,125,136,-1,-3
2810,LEFT,125,136,-1,-3
2846,LEFT,125,136,-1,-3
2863,LEFT,125,136,-1,-3
2881,LEFT,125,136,-1,-3
2898,LEFT,125,136,-1,-3
2916,LEFT,125,136,-1,-3
2936,LEFT,125,136,-1,-3
2953,LEFT,125,136,-1,-3
2971,LEFT,125,136,-1,-3
2993,LEFT,125,136,-1,-3
3012,LEFT,125,136,-1,-3
