Time(ms),Input,RawX,RawY,RelX,RelY
19,RIGHT,127,143,0,0
42,RIGHT,127,143,0,0
63,RIGHT,127,143,0,0
81,RIGHT,127,143,0,0
98,RIGHT,127,143,0,0
113,RIGHT,127,143,0,0
131,RIGHT,127,143,0,0
149,RIGHT,127,143,0,0
169,RIGHT,127,143,0,0
186,RIGHT,127,143,0,0
207,RIGHT,127,143,0,0
227,RIGHT,127,143,0,0
244,RIGHT,127,143,0,0
270,RIGHT,127,143,0,0
292,RIGHT,127,143,0,0
321,RIGHT,127,143,0,0
340,RIGHT,127,143,0,0
358,RIGHT,127,143,0,0
377,RIGHT,127,143,0,0
399,RIGHT,127,143,0,0
429,RIGHT,127,143,0,0
446,RIGHT,127,143,0,0
465,RIGHT,127,143,0,0
486,RIGHT,127,143,0,0
501,RIGHT,127,143,0,0
520,RIGHT,127,143,0,0
539,RIGHT,127,143,0,0
557,RIGHT,127,143,0,0
575,RIGHT,127,143,0,0
591,RIGHT,127,143,0,0
608,RIGHT,127,143,0,0
626,RIGHT,127,143,0,0
642,RIGHT,127,143,0,0
659,RIGHT,127,143,0,0
677,RIGHT,127,143,0,0
699,RIGHT,127,143,0,0
719,RIGHT,127,143,0,0
739,RIGHT,127,143,0,0
757,RIGHT,127,143,0,0
772,RIGHT,127,143,0,0
791,RIGHT,127,143,0,0
812,RIGHT,127,143,0,0
829,RIGHT,127,143,0,0
847,RIGHT,127,143,0,0
866,RIGHT,127,143,0,0
886,RIGHT,127,143,0,0
905,RIGHT,127,143,0,0
927,RIGHT,127,143,0,0
949,RIGHT,127,143,0,0
972,RIGHT,127,143,0,0
991,RIGHT,127,143,0,0
1012,RIGHT,127,143,0,0
1029,RIGHT,127,143,0,0
1045,RIGHT,127,143,0,0
1063,RIGHT,127,143,0,0
1080,RIGHT,127,143,0,0
1098,RIGHT,127,143,0,0
1115,RIGHT,127,143,0,0
1136,RIGHT,127,143,0,0
1160,RIGHT,127,143,0,0
1182,RIGHT,127,143,0,0
1200,RIGHT,127,143,0,0
1218,RIGHT,127,143,0,0
1238,RIGHT,127,143,0,0
1257,RIGHT,127,143,0,0
1275,RIGHT,127,143,0,0
1294,RIGHT,127,143,0,0
1312,RIGHT,127,144,0,1
1331,RIGHT,127,144,0,1
1349,RIGHT,127,144,0,1
1368,RIGHT,127,144,0,1
1385,RIGHT,127,144,0,1
1407,RIGHT,127,144,0,1
1429,RIGHT,127,144,0,1
1447,RIGHT,126,144,-1,1
1466,RIGHT,126,144,-1,1
1490,RIGHT,126,144,-1,1
1514,RIGHT,126,145,-1,2
1531,RIGHT,126,145,-1,2
1548,RIGHT,126,145,-1,2
1565,RIGHT,126,145,-1,2
1581,RIGHT,126,145,-1,2
1598,RIGHT,126,145,-1,2
1615,RIGHT,126,145,-1,2
1632,RIGHT,126,145,-1,2
1650,RIGHT,126,145,-1,2
1668,RIGHT,126,145,-1,2
1688,RIGHT,126,145,-1,2
1705,RIGHT,126,145,-1,2
1722,RIGHT,126,145,-1,2
1739,RIGHT,126,145,-1,2
1758,RIGHT,126,145,-1,2
1777,RIGHT,126,145,-1,2
1793,RIGHT,126,145,-1,2
1812,RIGHT,126,145,-1,2
1830,RIGHT,126,145,-1,2
1846,RIGHT,126,145,-1,2
1863,RIGHT,126,145,-1,2
1881,RIGHT,126,145,-1,2
1902,RIGHT,126,145,-1,2
1920,RIGHT,126,146,-1,3
1938,RIGHT,126,146,-1,3
1958,RIGHT,126,146,-1,3
1979,RIGHT,126,146,-1,3
2010,RIGHT,126,146,-1,3
2029,RIGHT,126,146,-1,3
2045,RIGHT,126,146,-1,3
2062,RIGHT,126,146,-1,3
2080,RIGHT,126,146,-1,3
2097,RIGHT,126,146,-1,3
2113,RIGHT,126,146,-1,3
2131,RIGHT,126,146,-1,3
2149,RIGHT,126,146,-1,3
2172,RIGHT,126,146,-1,3
2191,RIGHT,125,146,-2,3
2211,RIGHT,125,146,-2,3
2232,RIGHT,125,146,-2,3
2250,RIGHT,125,146,-2,3
2268,RIGHT,125,146,-2,3
2289,RIGHT,125,146,-2,3
2306,RIGHT,125,147,-2,4
2323,RIGHT,125,147,-2,4
2343,RIGHT,125,147,-2,4
2364,RIGHT,125,147,-2,4
2381,RIGHT,125,147,-2,4
2398,RIGHT,125,147,-2,4
2418,RIGHT,125,147,-2,4
2438,RIGHT,125,147,-2,4
2460,RIGHT,125,147,-2,4
2483,RIGHT,125,147,-2,4
2503,RIGHT,125,147,-2,4
2523,RIGHT,125,147,-2,4
2545,RIGHT,125,147,-2,4
2570,RIGHT,125,147,-2,4
2587,RIGHT,125,147,-2,4
2605,RIGHT,125,147,-2,4
2624,RIGHT,125,147,-2,4
2642,RIGHT,125,147,-2,4
2662,RIGHT,125,148,-2,5
2680,RIGHT,125,148,-2,5
2699,RIGHT,125,148,-2,5
2718,RIGHT,124,148,-3,5
2737,RIGHT,124,148,-3,5
2759,RIGHT,124,148,-3,5
2779,RIGHT,124,148,-3,5
2797,RIGHT,124,148,-3,5
2815,RIGHT,124,148,-3,5
2833,RIGHT,124,148,-3,5
2853,RIGHT,124,148,-3,5
2871,RIGHT,124,148,-3,5
2890,RIGHT,124,148,-3,5
2908,RIGHT,124,149,-3,6
2926,RIGHT,124,149,-3,6
2943,RIGHT,124,149,-3,6
2961,RIGHT,124,149,-3,6
2979,RIGHT,124,149,-3,6
2996,RIGHT,124,149,-3,6
3013,RIGHT,124,149,-3,6
