Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-94.1
17,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-94.1
33,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-94.1
49,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-92
65,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-92
80,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-92
99,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-92
114,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-94.1
131,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-94.1
148,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-94.1
166,1,AUTO,STRAIGHT(NO_CTRL),425,199,0,0,0,0,-94.1
190,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
206,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
221,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
236,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
251,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
266,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
281,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
299,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
314,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
332,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
347,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
364,1,AUTO,STRAIGHT(NO_CTRL),425,200,0,1,-0.1,-1,-93.9
381,1,AUTO,STRAIGHT(NO_CTRL),424,200,-1,1,-1.1,-0.9,-92
398,1,AUTO,STRAIGHT(NO_CTRL),424,200,-1,1,-1.1,-0.9,-92
415,1,AUTO,STRAIGHT(NO_CTRL),424,200,-1,1,-1.1,-0.9,-92
430,1,AUTO,STRAIGHT(NO_CTRL),424,200,-1,1,-1.1,-0.9,-92
450,1,AUTO,STRAIGHT(NO_CTRL),423,200,-2,1,-2.1,-0.9,-90
465,1,AUTO,STRAIGHT(NO_CTRL),423,200,-2,1,-2.1,-0.9,-90
481,1,AUTO,STRAIGHT(NO_CTRL),423,200,-2,1,-2.1,-0.9,-90
500,1,AUTO,STRAIGHT(NO_CTRL),423,200,-2,1,-2.1,-0.9,-90
515,1,AUTO,STRAIGHT(NO_CTRL),423,201,-2,2,-2.1,-1.9,-90
531,1,AUTO,STRAIGHT(NO_CTRL),423,201,-2,2,-2.1,-1.9,-90
548,1,AUTO,STRAIGHT(NO_CTRL),423,201,-2,2,-2.1,-1.9,-90
566,1,AUTO,STRAIGHT(NO_CTRL),423,201,-2,2,-2.1,-1.9,-90
581,1,AUTO,STRAIGHT(NO_CTRL),422,201,-3,2,-3.1,-1.8,-90
598,1,AUTO,STRAIGHT(NO_CTRL),422,201,-3,2,-3.1,-1.8,-90
615,1,AUTO,STRAIGHT(NO_CTRL),422,201,-3,2,-3.1,-1.8,-90
633,1,AUTO,STRAIGHT(NO_CTRL),422,201,-3,2,-3.1,-1.8,-90
658,1,AUTO,STRAIGHT(NO_CTRL),421,201,-4,2,-4.1,-1.7,-88
675,1,AUTO,STRAIGHT(NO_CTRL),421,201,-4,2,-4.1,-1.7,-88
690,1,AUTO,STRAIGHT(NO_CTRL),421,201,-4,2,-4.1,-1.7,-88
