Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-87.8
16,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-87.8
34,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-87.8
49,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
67,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
82,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
99,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
117,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
133,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
149,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
165,1,AUTO,STRAIGHT(NO_CTRL),389,338,0,0,0,0,-90
183,1,AUTO,STRAIGHT(NO_CTRL),389,337,0,-1,0,1,-90
200,1,AUTO,STRAIGHT(NO_CTRL),389,337,0,-1,0,1,-90
217,1,AUTO,STRAIGHT(NO_CTRL),388,337,-1,-1,-1,1,-90
233,1,AUTO,STRAIGHT(NO_CTRL),388,337,-1,-1,-1,1,-90
252,1,AUTO,STRAIGHT(NO_CTRL),388,337,-1,-1,-1,1,-90
273,1,AUTO,STRAIGHT(NO_CTRL),387,336,-2,-2,-2.1,1.9,-90
291,1,AUTO,STRAIGHT(NO_CTRL),387,336,-2,-2,-2.1,1.9,-90
307,1,AUTO,STRAIGHT(NO_CTRL),387,337,-2,-1,-2,0.9,-90
323,1,AUTO,STRAIGHT(NO_CTRL),387,337,-2,-1,-2,0.9,-90
339,1,AUTO,STRAIGHT(NO_CTRL),386,336,-3,-2,-3.1,1.9,-90
353,1,AUTO,STRAIGHT(NO_CTRL),386,336,-3,-2,-3.1,1.9,-90
368,1,AUTO,STRAIGHT(NO_CTRL),386,336,-3,-2,-3.1,1.9,-90
383,1,AUTO,STRAIGHT(NO_CTRL),385,337,-4,-1,-4,0.8,-92
399,1,AUTO,STRAIGHT(NO_CTRL),385,337,-4,-1,-4,0.8,-92
416,1,AUTO,STRAIGHT(NO_CTRL),384,336,-5,-2,-5.1,1.8,-92.1
433,1,AUTO,STRAIGHT(NO_CTRL),384,336,-5,-2,-5.1,1.8,-92.1
449,1,AUTO,STRAIGHT(NO_CTRL),384,336,-5,-2,-5.1,1.8,-92.1
466,1,AUTO,STRAIGHT(NO_CTRL),384,336,-5,-2,-5.1,1.8,-94.2
