Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-90
15,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-90
30,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
45,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
60,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
76,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
91,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
107,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
121,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
136,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
154,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
169,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
185,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
202,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
219,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
236,1,AUTO,STRAIGHT(NO_CTRL),337,235,0,0,0,0,-92
252,1,AUTO,STRAIGHT(NO_CTRL),337,236,0,1,0,-1,-90
270,1,AUTO,STRAIGHT(NO_CTRL),337,236,0,1,0,-1,-90
286,1,AUTO,STRAIGHT(NO_CTRL),337,236,0,1,0,-1,-90
319,1,AUTO,STRAIGHT(NO_CTRL),336,237,-1,2,-1,-2,-88
334,1,AUTO,STRAIGHT(NO_CTRL),336,237,-1,2,-1,-2,-88
350,1,AUTO,STRAIGHT(NO_CTRL),336,237,-1,2,-1,-2,-88
365,1,AUTO,STRAIGHT(NO_CTRL),335,238,-2,3,-2,-3,-88
381,1,AUTO,STRAIGHT(NO_CTRL),335,238,-2,3,-2,-3,-88
397,1,AUTO,STRAIGHT(NO_CTRL),335,238,-2,3,-2,-3,-88
422,1,AUTO,STRAIGHT(NO_CTRL),335,238,-2,3,-2,-3,-88
440,1,AUTO,STRAIGHT(NO_CTRL),334,239,-3,4,-3,-4,-88
455,1,AUTO,STRAIGHT(NO_CTRL),334,239,-3,4,-3,-4,-88
469,1,AUTO,STRAIGHT(NO_CTRL),334,239,-3,4,-3,-4,-88
488,1,AUTO,STRAIGHT(NO_CTRL),334,239,-3,4,-3,-4,-88
504,1,AUTO,STRAIGHT(NO_CTRL),332,240,-5,5,-5,-5,-83.9
519,1,AUTO,STRAIGHT(NO_CTRL),332,240,-5,5,-5,-5,-83.9
536,1,AUTO,STRAIGHT(NO_CTRL),332,240,-5,5,-5,-5,-83.9
551,1,AUTO,STRAIGHT(NO_CTRL),332,240,-5,5,-5,-5,-83.9
