Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
16,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
33,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
48,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
66,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
83,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
98,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
117,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
133,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
152,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-85.9
167,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-85.9
191,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-85.9
207,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
222,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
236,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
251,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
266,1,AUTO,STRAIGHT(NO_CTRL),387,258,0,0,0,0,-88
282,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-85.9
299,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-85.9
315,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-85.9
333,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-85.9
347,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-88
365,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-88
382,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-88
399,1,AUTO,STRAIGHT(NO_CTRL),386,258,-1,0,-1,0,-88
415,1,AUTO,STRAIGHT(NO_CTRL),385,258,-2,0,-2,-0.1,-86.1
432,1,AUTO,STRAIGHT(NO_CTRL),385,258,-2,0,-2,-0.1,-86.1
447,1,AUTO,STRAIGHT(NO_CTRL),385,258,-2,0,-2,-0.1,-86.1
467,1,AUTO,STRAIGHT(NO_CTRL),385,258,-2,0,-2,-0.1,-86.1
482,1,AUTO,STRAIGHT(NO_CTRL),385,257,-2,-1,-2,0.9,-85.9
499,1,AUTO,STRAIGHT(NO_CTRL),385,257,-2,-1,-2,0.9,-85.9
516,1,AUTO,STRAIGHT(NO_CTRL),385,257,-2,-1,-2,0.9,-85.9
533,1,AUTO,STRAIGHT(NO_CTRL),385,257,-2,-1,-2,0.9,-85.9
549,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-83.9
566,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-83.9
581,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-83.9
599,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-83.9
616,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-86.1
632,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-86.1
656,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-86.1
670,1,AUTO,STRAIGHT(NO_CTRL),384,256,-3,-2,-3.1,1.9,-86.1
