Time(ms),Input,RawX,RawY,RelX,RelY
17,DOWN,135,135,0,0
37,DOWN,135,135,0,0
64,DOWN,135,135,0,0
81,DOWN,135,135,0,0
97,DOWN,135,135,0,0
118,DOWN,135,135,0,0
136,DOWN,135,135,0,0
155,DOWN,135,135,0,0
178,DOWN,135,135,0,0
195,DOWN,135,135,0,0
217,DOWN,135,135,0,0
238,DOWN,135,135,0,0
255,DOWN,135,136,0,1
276,DOWN,135,136,0,1
297,DOWN,135,136,0,1
318,DOWN,135,136,0,1
335,DOWN,135,137,0,2
354,DOWN,135,137,0,2
374,DOWN,135,137,0,2
392,DOWN,135,137,0,2
409,DOWN,135,137,0,2
427,DOWN,135,137,0,2
447,DOWN,135,137,0,2
464,DOWN,135,137,0,2
482,DOWN,135,137,0,2
501,DOWN,135,137,0,2
521,DOWN,135,137,0,2
542,DOWN,136,138,1,3
564,DOWN,136,138,1,3
592,DOWN,136,138,1,3
610,DOWN,136,138,1,3
629,DOWN,136,138,1,3
648,DOWN,136,138,1,3
664,DOWN,136,138,1,3
683,DOWN,136,138,1,3
705,DOWN,136,138,1,3
724,DOWN,136,139,1,4
742,DOWN,136,139,1,4
761,DOWN,136,139,1,4
782,DOWN,136,139,1,4
799,DOWN,136,139,1,4
816,DOWN,136,139,1,4
835,DOWN,136,139,1,4
853,DOWN,136,139,1,4
871,DOWN,136,139,1,4
889,DOWN,136,139,1,4
908,DOWN,136,139,1,4
925,DOWN,136,139,1,4
942,DOWN,137,140,2,5
961,DOWN,137,140,2,5
979,DOWN,137,140,2,5
996,DOWN,137,140,2,5
1018,DOWN,137,140,2,5
1035,DOWN,137,140,2,5
1053,DOWN,137,140,2,5
1070,DOWN,137,140,2,5
1094,DOWN,137,140,2,5
1124,DOWN,137,141,2,6
1147,DOWN,137,141,2,6
1167,DOWN,137,141,2,6
1190,DOWN,137,141,2,6
1206,DOWN,137,141,2,6
1227,DOWN,137,141,2,6
1247,DOWN,137,141,2,6
1264,DOWN,137,141,2,6
1282,DOWN,137,141,2,6
1299,DOWN,137,141,2,6
1318,DOWN,137,141,2,6
1335,DOWN,137,142,2,7
1353,DOWN,137,142,2,7
1371,DOWN,137,142,2,7
1391,DOWN,137,142,2,7
1410,DOWN,137,142,2,7
1433,DOWN,137,142,2,7
1454,DOWN,137,142,2,7
1475,DOWN,137,142,2,7
1495,DOWN,137,142,2,7
1513,DOWN,137,142,2,7
1530,DOWN,137,143,2,8
1549,DOWN,137,143,2,8
1567,DOWN,137,143,2,8
1586,DOWN,137,143,2,8
1603,DOWN,137,143,2,8
1621,DOWN,137,143,2,8
1647,DOWN,137,143,2,8
1671,DOWN,137,143,2,8
1693,DOWN,137,143,2,8
1711,DOWN,137,143,2,8
1728,DOWN,138,144,3,9
1746,DOWN,138,144,3,9
1767,DOWN,138,144,3,9
1784,DOWN,138,144,3,9
1801,DOWN,138,144,3,9
1820,DOWN,138,144,3,9
1839,DOWN,138,144,3,9
1857,DOWN,138,145,3,10
1879,DOWN,138,145,3,10
1900,DOWN,138,145,3,10
1917,DOWN,138,145,3,10
1935,DOWN,138,145,3,10
1957,DOWN,138,145,3,10
1977,DOWN,138,145,3,10
1996,DOWN,138,145,3,10
2016,DOWN,138,145,3,10
2035,DOWN,138,145,3,10
2053,DOWN,138,145,3,10
2072,DOWN,138,146,3,11
2090,DOWN,138,146,3,11
2111,DOWN,138,146,3,11
2130,DOWN,138,146,3,11
2150,DOWN,138,146,3,11
2169,DOWN,138,146,3,11
2192,DOWN,138,146,3,11
2218,DOWN,138,146,3,11
2235,DOWN,138,146,3,11
2258,DOWN,138,146,3,11
2279,DOWN,138,146,3,11
2298,DOWN,138,146,3,11
2317,DOWN,138,146,3,11
2336,DOWN,138,147,3,12
2354,DOWN,138,147,3,12
2372,DOWN,138,147,3,12
2392,DOWN,138,147,3,12
2408,DOWN,138,147,3,12
2427,DOWN,138,147,3,12
2447,DOWN,138,147,3,12
2464,DOWN,138,147,3,12
2482,DOWN,138,147,3,12
2502,DOWN,138,147,3,12
2519,DOWN,138,147,3,12
2538,DOWN,138,148,3,13
2559,DOWN,138,148,3,13
2580,DOWN,138,148,3,13
2598,DOWN,138,148,3,13
2616,DOWN,138,148,3,13
2636,DOWN,138,148,3,13
2654,DOWN,138,148,3,13
2670,DOWN,137,148,2,13
2689,DOWN,137,148,2,13
2706,DOWN,137,148,2,13
2730,DOWN,137,148,2,13
2756,DOWN,137,148,2,13
2778,DOWN,137,148,2,13
2796,DOWN,137,148,2,13
2813,DOWN,137,149,2,14
2832,DOWN,137,149,2,14
2851,DOWN,137,149,2,14
2869,DOWN,137,149,2,14
2888,DOWN,137,149,2,14
2910,DOWN,137,149,2,14
2928,DOWN,137,149,2,14
2947,DOWN,137,149,2,14
2966,DOWN,137,149,2,14
2984,DOWN,137,149,2,14
3004,DOWN,137,150,2,15
