Time(ms),Input,RawX,RawY,RelX,RelY
22,LEFT,135,151,0,0
49,LEFT,135,151,0,0
67,LEFT,135,151,0,0
86,LEFT,135,151,0,0
104,LEFT,135,151,0,0
131,LEFT,135,151,0,0
150,LEFT,135,151,0,0
166,LEFT,135,151,0,0
184,LEFT,135,151,0,0
204,LEFT,135,151,0,0
220,LEFT,135,151,0,0
238,LEFT,135,151,0,0
271,LEFT,135,151,0,0
292,LEFT,135,151,0,0
308,LEFT,135,151,0,0
328,LEFT,135,151,0,0
352,LEFT,135,151,0,0
369,LEFT,136,151,1,0
388,LEFT,136,151,1,0
411,LEFT,136,151,1,0
428,LEFT,136,151,1,0
448,LEFT,136,151,1,0
466,LEFT,136,151,1,0
485,LEFT,136,151,1,0
504,LEFT,137,151,2,0
524,LEFT,137,151,2,0
544,LEFT,137,151,2,0
562,LEFT,137,152,2,1
584,LEFT,137,152,2,1
602,LEFT,137,152,2,1
620,LEFT,137,152,2,1
640,LEFT,137,152,2,1
660,LEFT,137,152,2,1
678,LEFT,137,152,2,1
697,LEFT,137,152,2,1
713,LEFT,138,152,3,1
732,LEFT,138,152,3,1
753,LEFT,138,152,3,1
773,LEFT,138,152,3,1
796,LEFT,138,152,3,1
818,LEFT,138,152,3,1
845,LEFT,138,152,3,1
868,LEFT,138,152,3,1
892,LEFT,138,152,3,1
910,LEFT,138,152,3,1
929,LEFT,138,152,3,1
953,LEFT,138,152,3,1
974,LEFT,138,152,3,1
992,LEFT,138,152,3,1
1011,LEFT,138,152,3,1
1029,LEFT,139,152,4,1
1047,LEFT,139,152,4,1
1068,LEFT,139,152,4,1
1086,LEFT,139,152,4,1
1103,LEFT,139,152,4,1
1123,LEFT,139,152,4,1
1144,LEFT,139,152,4,1
1163,LEFT,139,152,4,1
1180,LEFT,139,152,4,1
1204,LEFT,139,152,4,1
1227,LEFT,139,152,4,1
1248,LEFT,139,152,4,1
1268,LEFT,139,152,4,1
1287,LEFT,139,152,4,1
1304,LEFT,139,152,4,1
1322,LEFT,139,152,4,1
1345,LEFT,139,152,4,1
1367,LEFT,139,152,4,1
1408,LEFT,139,152,4,1
1429,LEFT,139,153,4,2
1451,LEFT,139,153,4,2
1474,LEFT,139,153,4,2
1493,LEFT,139,153,4,2
1508,LEFT,139,153,4,2
1527,LEFT,139,153,4,2
1551,LEFT,139,153,4,2
1570,LEFT,139,153,4,2
1592,LEFT,139,153,4,2
1616,LEFT,139,153,4,2
1633,LEFT,140,153,5,2
1651,LEFT,140,153,5,2
1671,LEFT,140,153,5,2
1690,LEFT,140,153,5,2
1710,LEFT,140,153,5,2
1730,LEFT,140,153,5,2
1751,LEFT,140,153,5,2
1770,LEFT,140,153,5,2
1794,LEFT,140,153,5,2
1813,LEFT,140,153,5,2
1832,LEFT,141,153,6,2
1855,LEFT,141,153,6,2
1873,LEFT,141,153,6,2
1892,LEFT,141,153,6,2
1909,LEFT,141,153,6,2
1928,LEFT,141,153,6,2
1955,LEFT,141,153,6,2
1975,LEFT,141,153,6,2
2004,LEFT,141,153,6,2
2027,LEFT,141,153,6,2
2045,LEFT,142,154,7,3
2063,LEFT,142,154,7,3
2080,LEFT,142,154,7,3
2097,LEFT,142,154,7,3
2116,LEFT,142,154,7,3
2134,LEFT,142,154,7,3
2151,LEFT,142,154,7,3
2167,LEFT,143,154,8,3
2186,LEFT,143,154,8,3
2209,LEFT,143,154,8,3
2229,LEFT,143,154,8,3
2248,LEFT,143,154,8,3
2267,LEFT,143,154,8,3
2287,LEFT,143,154,8,3
2305,LEFT,143,154,8,3
2323,LEFT,143,154,8,3
2340,LEFT,143,154,8,3
2358,LEFT,143,154,8,3
2375,LEFT,144,154,9,3
2392,LEFT,144,154,9,3
2409,LEFT,144,154,9,3
2426,LEFT,144,154,9,3
2443,LEFT,144,154,9,3
2461,LEFT,144,154,9,3
2479,LEFT,144,154,9,3
2512,LEFT,145,154,10,3
2529,LEFT,145,154,10,3
2547,LEFT,145,154,10,3
2564,LEFT,145,154,10,3
2581,LEFT,145,154,10,3
2597,LEFT,145,154,10,3
2616,LEFT,145,154,10,3
2634,LEFT,145,154,10,3
2651,LEFT,145,154,10,3
2668,LEFT,145,154,10,3
2686,LEFT,145,154,10,3
2703,LEFT,146,154,11,3
2723,LEFT,146,154,11,3
2744,LEFT,146,154,11,3
2762,LEFT,146,154,11,3
2778,LEFT,146,155,11,4
2796,LEFT,146,155,11,4
2815,LEFT,146,155,11,4
2831,LEFT,147,155,12,4
2849,LEFT,147,155,12,4
2867,LEFT,147,155,12,4
2887,LEFT,147,155,12,4
2907,LEFT,147,155,12,4
2926,LEFT,147,155,12,4
2946,LEFT,147,155,12,4
2963,LEFT,147,155,12,4
2983,LEFT,147,155,12,4
3009,LEFT,147,155,12,4
