Time(ms),Input,RawX,RawY,RelX,RelY
15,RIGHT,130,142,0,0
34,RIGHT,130,142,0,0
50,RIGHT,130,142,0,0
68,RIGHT,130,142,0,0
82,RIGHT,130,142,0,0
98,RIGHT,130,142,0,0
115,RIGHT,130,142,0,0
131,RIGHT,130,142,0,0
149,RIGHT,130,142,0,0
167,RIGHT,130,142,0,0
183,RIGHT,130,142,0,0
200,RIGHT,130,142,0,0
216,RIGHT,130,142,0,0
233,RIGHT,130,142,0,0
252,RIGHT,130,142,0,0
264,RIGHT,130,142,0,0
286,RIGHT,130,143,0,1
302,RIGHT,130,143,0,1
320,RIGHT,130,143,0,1
332,RIGHT,131,143,1,1
350,RIGHT,131,143,1,1
366,RIGHT,131,143,1,1
384,RIGHT,131,143,1,1
400,RIGHT,132,143,2,1
416,RIGHT,132,143,2,1
432,RIGHT,132,143,2,1
448,RIGHT,132,143,2,1
465,RIGHT,132,143,2,1
485,RIGHT,133,143,3,1
502,RIGHT,133,143,3,1
516,RIGHT,133,143,3,1
533,RIGHT,133,143,3,1
552,RIGHT,134,143,4,1
564,RIGHT,134,143,4,1
582,RIGHT,134,143,4,1
599,RIGHT,134,143,4,1
620,RIGHT,135,143,5,1
632,RIGHT,135,143,5,1
650,RIGHT,135,143,5,1
668,RIGHT,135,143,5,1
684,RIGHT,135,143,5,1
702,RIGHT,135,143,5,1
718,RIGHT,135,143,5,1
733,RIGHT,136,143,6,1
752,RIGHT,136,143,6,1
770,RIGHT,136,143,6,1
783,RIGHT,136,143,6,1
798,RIGHT,137,143,7,1
814,RIGHT,137,143,7,1
834,RIGHT,137,143,7,1
851,RIGHT,137,143,7,1
867,RIGHT,137,143,7,1
884,RIGHT,138,143,8,1
898,RIGHT,138,143,8,1
914,RIGHT,138,143,8,1
931,RIGHT,138,143,8,1
952,RIGHT,139,143,9,1
970,RIGHT,139,143,9,1
984,RIGHT,139,143,9,1
999,RIGHT,139,143,9,1
1018,RIGHT,140,143,10,1
1032,RIGHT,140,143,10,1
1049,RIGHT,140,143,10,1
1065,RIGHT,141,143,11,1
1085,RIGHT,141,143,11,1
1098,RIGHT,141,143,11,1
1115,RIGHT,141,143,11,1
1133,RIGHT,142,143,12,1
1151,RIGHT,142,143,12,1
1165,RIGHT,142,143,12,1
1181,RIGHT,142,143,12,1
1198,RIGHT,143,143,13,1
1223,RIGHT,143,143,13,1
1246,RIGHT,143,143,13,1
1259,RIGHT,143,143,13,1
1271,RIGHT,143,143,13,1
1283,RIGHT,143,143,13,1
1299,RIGHT,143,143,13,1
1317,RIGHT,143,143,13,1
1334,RIGHT,143,143,13,1
1350,RIGHT,144,143,14,1
1366,RIGHT,144,143,14,1
1384,RIGHT,144,143,14,1
1399,RIGHT,144,143,14,1
1418,RIGHT,145,143,15,1
1432,RIGHT,145,143,15,1
1448,RIGHT,145,143,15,1
1464,RIGHT,146,143,16,1
1482,RIGHT,146,143,16,1
1500,RIGHT,146,143,16,1
1519,RIGHT,146,143,16,1
1533,RIGHT,147,143,17,1
1552,RIGHT,147,143,17,1
1565,RIGHT,147,143,17,1
1584,RIGHT,147,143,17,1
1601,RIGHT,148,143,18,1
1615,RIGHT,148,143,18,1
1632,RIGHT,148,143,18,1
1647,RIGHT,148,143,18,1
1665,RIGHT,148,143,18,1
1690,RIGHT,149,143,19,1
1705,RIGHT,149,143,19,1
1727,RIGHT,149,143,19,1
1749,RIGHT,150,142,20,0
1762,RIGHT,150,142,20,0
1775,RIGHT,150,142,20,0
1785,RIGHT,150,142,20,0
1819,RIGHT,150,142,20,0
1833,RIGHT,151,142,21,0
1848,RIGHT,151,142,21,0
1864,RIGHT,152,142,22,0
1882,RIGHT,152,142,22,0
1898,RIGHT,152,142,22,0
1917,RIGHT,152,142,22,0
1938,RIGHT,153,141,23,-1
1953,RIGHT,153,141,23,-1
1969,RIGHT,153,141,23,-1
1983,RIGHT,153,141,23,-1
1998,RIGHT,154,141,24,-1
2017,RIGHT,154,141,24,-1
2034,RIGHT,154,141,24,-1
2051,RIGHT,154,141,24,-1
2069,RIGHT,154,141,24,-1
2082,RIGHT,155,141,25,-1
2101,RIGHT,155,141,25,-1
2118,RIGHT,155,141,25,-1
2135,RIGHT,155,141,25,-1
2152,RIGHT,156,140,26,-2
2167,RIGHT,156,140,26,-2
2190,RIGHT,156,140,26,-2
2204,RIGHT,156,140,26,-2
2217,RIGHT,157,140,27,-2
2238,RIGHT,157,140,27,-2
2251,RIGHT,157,140,27,-2
2264,RIGHT,157,140,27,-2
2284,RIGHT,158,139,28,-3
2301,RIGHT,158,139,28,-3
2318,RIGHT,158,139,28,-3
2333,RIGHT,159,139,29,-3
2349,RIGHT,159,139,29,-3
2365,RIGHT,159,139,29,-3
2382,RIGHT,159,139,29,-3
2400,RIGHT,160,138,30,-4
2417,RIGHT,160,138,30,-4
2432,RIGHT,160,138,30,-4
2450,RIGHT,160,138,30,-4
2466,RIGHT,160,138,30,-4
2482,RIGHT,161,138,31,-4
2498,RIGHT,161,138,31,-4
2515,RIGHT,161,138,31,-4
2532,RIGHT,161,138,31,-4
2549,RIGHT,161,137,31,-5
2566,RIGHT,161,137,31,-5
2582,RIGHT,161,137,31,-5
2601,RIGHT,161,137,31,-5
2616,RIGHT,162,137,32,-5
2632,RIGHT,162,137,32,-5
2649,RIGHT,162,137,32,-5
2664,RIGHT,162,137,32,-5
2685,RIGHT,163,136,33,-6
2701,RIGHT,163,136,33,-6
2716,RIGHT,163,136,33,-6
2731,RIGHT,164,136,34,-6
2750,RIGHT,164,136,34,-6
2767,RIGHT,164,136,34,-6
2782,RIGHT,164,136,34,-6
2799,RIGHT,165,135,35,-7
2816,RIGHT,165,135,35,-7
2834,RIGHT,165,135,35,-7
2848,RIGHT,165,135,35,-7
2866,RIGHT,165,135,35,-7
2884,RIGHT,166,135,36,-7
2900,RIGHT,166,135,36,-7
2916,RIGHT,166,135,36,-7
2932,RIGHT,166,135,36,-7
2950,RIGHT,166,134,36,-8
2970,RIGHT,166,134,36,-8
2984,RIGHT,166,134,36,-8
2997,RIGHT,166,134,36,-8
