Time(ms),Input,RawX,RawY,RelX,RelY
23,UP,143,148,0,0
45,UP,143,148,0,0
61,UP,143,148,0,0
79,UP,143,148,0,0
100,UP,143,148,0,0
117,UP,143,148,0,0
135,UP,143,148,0,0
153,UP,143,148,0,0
173,UP,143,148,0,0
191,UP,143,148,0,0
211,UP,143,148,0,0
231,UP,143,148,0,0
249,UP,143,148,0,0
267,UP,143,148,0,0
287,UP,143,148,0,0
309,UP,143,148,0,0
332,UP,143,148,0,0
350,UP,143,148,0,0
371,UP,143,148,0,0
394,UP,143,148,0,0
416,UP,143,148,0,0
440,UP,143,148,0,0
457,UP,143,147,0,-1
481,UP,143,147,0,-1
500,UP,143,147,0,-1
518,UP,143,147,0,-1
534,UP,143,147,0,-1
552,UP,143,147,0,-1
571,UP,143,147,0,-1
589,UP,143,147,0,-1
607,UP,143,147,0,-1
625,UP,143,147,0,-1
644,UP,143,147,0,-1
664,UP,143,146,0,-2
682,UP,143,146,0,-2
702,UP,143,146,0,-2
724,UP,143,146,0,-2
743,UP,144,146,1,-2
763,UP,144,146,1,-2
781,UP,144,146,1,-2
803,UP,144,145,1,-3
825,UP,144,145,1,-3
844,UP,144,145,1,-3
860,UP,144,145,1,-3
881,UP,144,145,1,-3
904,UP,144,145,1,-3
923,UP,144,144,1,-4
942,UP,144,144,1,-4
963,UP,144,144,1,-4
993,UP,144,144,1,-4
1021,UP,144,144,1,-4
1040,UP,144,144,1,-4
1057,UP,144,143,1,-5
1074,UP,144,143,1,-5
1092,UP,144,143,1,-5
1111,UP,144,143,1,-5
1126,UP,144,143,1,-5
1143,UP,144,143,1,-5
1161,UP,144,143,1,-5
1180,UP,144,143,1,-5
1197,UP,144,143,1,-5
1217,UP,144,143,1,-5
1239,UP,144,143,1,-5
1257,UP,144,142,1,-6
1275,UP,144,142,1,-6
1294,UP,144,142,1,-6
1312,UP,144,142,1,-6
1332,UP,144,142,1,-6
1355,UP,144,142,1,-6
1378,UP,144,142,1,-6
1394,UP,145,142,2,-6
1410,UP,145,142,2,-6
1431,UP,145,142,2,-6
1447,UP,145,141,2,-7
1466,UP,145,141,2,-7
1485,UP,145,141,2,-7
1509,UP,145,141,2,-7
1542,UP,145,141,2,-7
1559,UP,145,141,2,-7
1587,UP,145,141,2,-7
1604,UP,144,141,1,-7
1624,UP,144,141,1,-7
1645,UP,144,141,1,-7
1662,UP,145,140,2,-8
1680,UP,145,140,2,-8
1704,UP,145,140,2,-8
1722,UP,145,140,2,-8
1741,UP,145,140,2,-8
1760,UP,145,140,2,-8
1780,UP,145,140,2,-8
1797,UP,145,139,2,-9
1815,UP,145,139,2,-9
1835,UP,145,139,2,-9
1853,UP,145,139,2,-9
1874,UP,145,139,2,-9
1894,UP,145,139,2,-9
1918,UP,145,139,2,-9
1941,UP,145,139,2,-9
1959,UP,145,139,2,-9
1977,UP,145,139,2,-9
1996,UP,145,139,2,-9
2013,UP,145,139,2,-9
2031,UP,145,139,2,-9
2051,UP,145,139,2,-9
2073,UP,145,138,2,-10
2116,UP,145,138,2,-10
2133,UP,145,138,2,-10
2152,UP,145,138,2,-10
2171,UP,145,138,2,-10
2189,UP,145,138,2,-10
2210,UP,145,138,2,-10
2234,UP,145,138,2,-10
2254,UP,145,137,2,-11
2276,UP,145,137,2,-11
2295,UP,145,137,2,-11
2315,UP,145,137,2,-11
2333,UP,145,137,2,-11
2356,UP,145,137,2,-11
2379,UP,145,137,2,-11
2396,UP,145,137,2,-11
2415,UP,145,137,2,-11
2433,UP,145,137,2,-11
2452,UP,145,137,2,-11
2468,UP,146,136,3,-12
2486,UP,146,136,3,-12
2505,UP,146,136,3,-12
2522,UP,146,136,3,-12
2542,UP,146,136,3,-12
2562,UP,146,136,3,-12
2582,UP,146,136,3,-12
2599,UP,146,135,3,-13
2616,UP,146,135,3,-13
2642,UP,146,135,3,-13
2684,UP,146,135,3,-13
2706,UP,146,135,3,-13
2727,UP,146,135,3,-13
2748,UP,146,135,3,-13
2768,UP,146,135,3,-13
2786,UP,146,135,3,-13
2804,UP,146,135,3,-13
2826,UP,146,135,3,-13
2847,UP,146,135,3,-13
2866,UP,147,134,4,-14
2884,UP,147,134,4,-14
2902,UP,147,134,4,-14
2921,UP,147,134,4,-14
2939,UP,147,134,4,-14
2960,UP,147,134,4,-14
2978,UP,147,134,4,-14
2996,UP,147,134,4,-14
3014,UP,147,134,4,-14
