Time(ms),Input,RawX,RawY,RelX,RelY
16,RIGHT,128,156,0,0
38,RIGHT,128,156,0,0
59,RIGHT,128,156,0,0
80,RIGHT,128,156,0,0
96,RIGHT,128,156,0,0
115,RIGHT,128,156,0,0
134,RIGHT,128,156,0,0
152,RIGHT,128,156,0,0
168,RIGHT,128,156,0,0
186,RIGHT,128,156,0,0
204,RIGHT,128,156,0,0
222,RIGHT,128,156,0,0
239,RIGHT,128,156,0,0
258,RIGHT,128,156,0,0
276,RIGHT,128,156,0,0
293,RIGHT,129,156,1,0
312,RIGHT,129,156,1,0
332,RIGHT,129,156,1,0
364,RIGHT,129,156,1,0
381,RIGHT,129,156,1,0
398,RIGHT,129,156,1,0
415,RIGHT,129,156,1,0
431,RIGHT,130,156,2,0
448,RIGHT,130,156,2,0
467,RIGHT,130,156,2,0
484,RIGHT,130,156,2,0
500,RIGHT,130,156,2,0
518,RIGHT,130,156,2,0
535,RIGHT,130,156,2,0
552,RIGHT,130,156,2,0
569,RIGHT,131,157,3,1
587,RIGHT,131,157,3,1
607,RIGHT,131,157,3,1
624,RIGHT,131,157,3,1
644,RIGHT,131,157,3,1
662,RIGHT,131,157,3,1
681,RIGHT,131,157,3,1
697,RIGHT,132,157,4,1
715,RIGHT,132,157,4,1
735,RIGHT,132,157,4,1
753,RIGHT,132,157,4,1
772,RIGHT,132,157,4,1
793,RIGHT,132,157,4,1
813,RIGHT,132,157,4,1
834,RIGHT,132,157,4,1
857,RIGHT,132,157,4,1
894,RIGHT,133,157,5,1
913,RIGHT,133,157,5,1
932,RIGHT,133,157,5,1
951,RIGHT,133,157,5,1
971,RIGHT,133,157,5,1
989,RIGHT,133,157,5,1
1008,RIGHT,133,157,5,1
1027,RIGHT,133,157,5,1
1045,RIGHT,133,157,5,1
1064,RIGHT,133,157,5,1
1084,RIGHT,134,157,6,1
1107,RIGHT,134,157,6,1
1127,RIGHT,134,157,6,1
1146,RIGHT,134,157,6,1
1168,RIGHT,135,157,7,1
1186,RIGHT,135,157,7,1
1208,RIGHT,135,157,7,1
1229,RIGHT,135,158,7,2
1247,RIGHT,135,158,7,2
1265,RIGHT,135,158,7,2
1283,RIGHT,135,158,7,2
1301,RIGHT,135,158,7,2
1319,RIGHT,135,158,7,2
1337,RIGHT,135,158,7,2
1354,RIGHT,136,158,8,2
1372,RIGHT,136,158,8,2
1390,RIGHT,136,158,8,2
1414,RIGHT,136,158,8,2
1442,RIGHT,136,158,8,2
1458,RIGHT,136,158,8,2
1475,RIGHT,136,158,8,2
1490,RIGHT,136,158,8,2
1509,RIGHT,136,158,8,2
1525,RIGHT,136,158,8,2
1543,RIGHT,136,158,8,2
1558,RIGHT,137,158,9,2
1576,RIGHT,137,158,9,2
1593,RIGHT,137,158,9,2
1611,RIGHT,137,158,9,2
1628,RIGHT,137,158,9,2
1646,RIGHT,137,158,9,2
1664,RIGHT,137,158,9,2
1682,RIGHT,137,158,9,2
1699,RIGHT,137,158,9,2
1717,RIGHT,137,158,9,2
1735,RIGHT,137,158,9,2
1753,RIGHT,137,158,9,2
1771,RIGHT,138,158,10,2
1789,RIGHT,138,158,10,2
1811,RIGHT,138,158,10,2
1829,RIGHT,138,158,10,2
1849,RIGHT,138,158,10,2
1873,RIGHT,138,158,10,2
1890,RIGHT,139,158,11,2
1908,RIGHT,139,158,11,2
1930,RIGHT,139,158,11,2
1950,RIGHT,139,158,11,2
1977,RIGHT,139,158,11,2
1997,RIGHT,139,158,11,2
2016,RIGHT,139,158,11,2
2036,RIGHT,139,158,11,2
2062,RIGHT,139,158,11,2
2081,RIGHT,139,158,11,2
2100,RIGHT,140,158,12,2
2120,RIGHT,140,158,12,2
2142,RIGHT,140,158,12,2
2158,RIGHT,140,158,12,2
2175,RIGHT,140,158,12,2
2196,RIGHT,140,158,12,2
2219,RIGHT,140,158,12,2
2237,RIGHT,140,158,12,2
2258,RIGHT,140,158,12,2
2277,RIGHT,140,158,12,2
2297,RIGHT,141,158,13,2
2315,RIGHT,141,158,13,2
2335,RIGHT,141,158,13,2
2353,RIGHT,141,158,13,2
2374,RIGHT,141,158,13,2
2395,RIGHT,141,158,13,2
2414,RIGHT,141,158,13,2
2431,RIGHT,141,158,13,2
2449,RIGHT,141,158,13,2
2469,RIGHT,141,158,13,2
2490,RIGHT,141,158,13,2
2514,RIGHT,141,158,13,2
2531,RIGHT,141,158,13,2
2562,RIGHT,141,158,13,2
2579,RIGHT,141,158,13,2
2596,RIGHT,141,158,13,2
2615,RIGHT,141,158,13,2
2631,RIGHT,141,158,13,2
2650,RIGHT,141,158,13,2
2668,RIGHT,141,158,13,2
2684,RIGHT,142,158,14,2
2703,RIGHT,142,158,14,2
2724,RIGHT,142,158,14,2
2743,RIGHT,142,158,14,2
2765,RIGHT,142,158,14,2
2784,RIGHT,142,158,14,2
2805,RIGHT,142,158,14,2
2824,RIGHT,142,158,14,2
2842,RIGHT,142,158,14,2
2860,RIGHT,142,158,14,2
2880,RIGHT,142,158,14,2
2897,RIGHT,142,158,14,2
2915,RIGHT,142,158,14,2
2936,RIGHT,142,158,14,2
2957,RIGHT,143,158,15,2
2976,RIGHT,143,158,15,2
2993,RIGHT,143,158,15,2
3012,RIGHT,143,158,15,2
