Time(ms),Input,RawX,RawY,RelX,RelY
17,LEFT,137,156,0,0
36,LEFT,137,156,0,0
56,LEFT,137,156,0,0
73,LEFT,137,156,0,0
91,LEFT,137,156,0,0
108,LEFT,137,156,0,0
124,LEFT,137,156,0,0
142,LEFT,137,156,0,0
161,LEFT,137,156,0,0
182,LEFT,137,156,0,0
205,LEFT,137,156,0,0
224,LEFT,137,156,0,0
244,LEFT,137,156,0,0
265,LEFT,137,156,0,0
294,LEFT,137,156,0,0
311,LEFT,137,156,0,0
327,LEFT,138,156,1,0
345,LEFT,138,156,1,0
363,LEFT,138,156,1,0
382,LEFT,138,156,1,0
399,LEFT,138,156,1,0
416,LEFT,138,156,1,0
435,LEFT,138,156,1,0
455,LEFT,138,156,1,0
472,LEFT,139,157,2,1
489,LEFT,139,157,2,1
507,LEFT,139,157,2,1
526,LEFT,139,157,2,1
546,LEFT,139,157,2,1
565,LEFT,139,157,2,1
583,LEFT,139,157,2,1
602,LEFT,139,157,2,1
619,LEFT,139,157,2,1
636,LEFT,139,157,2,1
651,LEFT,139,157,2,1
669,LEFT,139,157,2,1
687,LEFT,139,157,2,1
710,LEFT,139,157,2,1
736,LEFT,140,157,3,1
755,LEFT,140,157,3,1
773,LEFT,140,157,3,1
791,LEFT,140,157,3,1
812,LEFT,140,158,3,2
829,LEFT,140,158,3,2
851,LEFT,140,158,3,2
873,LEFT,140,158,3,2
892,LEFT,140,158,3,2
911,LEFT,140,158,3,2
929,LEFT,141,158,4,2
950,LEFT,141,158,4,2
975,LEFT,141,158,4,2
995,LEFT,141,158,4,2
1013,LEFT,141,158,4,2
1035,LEFT,141,158,4,2
1051,LEFT,141,158,4,2
1068,LEFT,141,158,4,2
1086,LEFT,141,158,4,2
1103,LEFT,141,158,4,2
1118,LEFT,142,158,5,2
1135,LEFT,142,158,5,2
1152,LEFT,142,158,5,2
1170,LEFT,142,158,5,2
1191,LEFT,142,158,5,2
1210,LEFT,142,158,5,2
1228,LEFT,142,158,5,2
1250,LEFT,142,158,5,2
1283,LEFT,143,158,6,2
1304,LEFT,143,158,6,2
1327,LEFT,143,158,6,2
1346,LEFT,143,158,6,2
1369,LEFT,143,158,6,2
1387,LEFT,143,158,6,2
1405,LEFT,143,158,6,2
1427,LEFT,143,158,6,2
1447,LEFT,143,158,6,2
1468,LEFT,144,158,7,2
1485,LEFT,144,158,7,2
1504,LEFT,144,158,7,2
1521,LEFT,144,158,7,2
1538,LEFT,144,158,7,2
1557,LEFT,144,158,7,2
1580,LEFT,144,158,7,2
1600,LEFT,145,158,8,2
1617,LEFT,145,158,8,2
1639,LEFT,145,158,8,2
1656,LEFT,145,158,8,2
1674,LEFT,145,158,8,2
1695,LEFT,145,158,8,2
1718,LEFT,145,158,8,2
1735,LEFT,145,158,8,2
1755,LEFT,145,158,8,2
1777,LEFT,145,158,8,2
1795,LEFT,146,159,9,3
1816,LEFT,146,159,9,3
1850,LEFT,146,159,9,3
1867,LEFT,147,159,10,3
1884,LEFT,147,159,10,3
1904,LEFT,147,159,10,3
1919,LEFT,147,159,10,3
1935,LEFT,147,159,10,3
1952,LEFT,147,159,10,3
1971,LEFT,147,159,10,3
1991,LEFT,147,159,10,3
2013,LEFT,148,159,11,3
2035,LEFT,148,159,11,3
2053,LEFT,148,159,11,3
2069,LEFT,148,159,11,3
2085,LEFT,148,159,11,3
2102,LEFT,148,159,11,3
2121,LEFT,148,159,11,3
2137,LEFT,149,159,12,3
2156,LEFT,149,159,12,3
2178,LEFT,149,159,12,3
2195,LEFT,150,159,13,3
2213,LEFT,150,159,13,3
2230,LEFT,150,159,13,3
2247,LEFT,150,159,13,3
2268,LEFT,151,158,14,2
2285,LEFT,151,158,14,2
2304,LEFT,151,158,14,2
2323,LEFT,151,158,14,2
2342,LEFT,151,158,14,2
2374,LEFT,151,158,14,2
2392,LEFT,151,158,14,2
2409,LEFT,152,158,15,2
2428,LEFT,152,158,15,2
2449,LEFT,152,158,15,2
2467,LEFT,153,158,16,2
2485,LEFT,153,158,16,2
2503,LEFT,153,158,16,2
2521,LEFT,153,158,16,2
2539,LEFT,154,158,17,2
2560,LEFT,154,158,17,2
2582,LEFT,154,158,17,2
2602,LEFT,155,158,18,2
2620,LEFT,155,158,18,2
2641,LEFT,155,158,18,2
2658,LEFT,155,158,18,2
2676,LEFT,155,158,18,2
2695,LEFT,155,158,18,2
2714,LEFT,155,158,18,2
2732,LEFT,155,158,18,2
2748,LEFT,156,158,19,2
2766,LEFT,156,158,19,2
2784,LEFT,156,158,19,2
2802,LEFT,157,158,20,2
2819,LEFT,157,158,20,2
2836,LEFT,157,158,20,2
2853,LEFT,157,158,20,2
2873,LEFT,157,157,20,1
2902,LEFT,157,157,20,1
2920,LEFT,157,157,20,1
2938,LEFT,158,157,21,1
2958,LEFT,158,157,21,1
2976,LEFT,158,157,21,1
2995,LEFT,159,157,22,1
3017,LEFT,159,157,22,1
