Time(ms),Input,RawX,RawY,RelX,RelY
28,RIGHT,130,125,0,0
86,RIGHT,130,125,0,0
107,RIGHT,130,125,0,0
131,RIGHT,130,125,0,0
161,RIGHT,130,125,0,0
195,RIGHT,130,125,0,0
229,RIGHT,130,125,0,0
263,RIGHT,130,125,0,0
294,RIGHT,130,125,0,0
329,RIGHT,128,125,-2,0
361,RIGHT,127,124,-3,-1
392,RIGHT,127,124,-3,-1
428,RIGHT,126,124,-4,-1
460,RIGHT,126,124,-4,-1
504,RIGHT,126,124,-4,-1
542,RIGHT,125,124,-5,-1
567,RIGHT,125,124,-5,-1
593,RIGHT,124,124,-6,-1
628,RIGHT,124,124,-6,-1
663,RIGHT,123,124,-7,-1
692,RIGHT,123,124,-7,-1
728,RIGHT,122,124,-8,-1
760,RIGHT,121,124,-9,-1
794,RIGHT,121,124,-9,-1
826,RIGHT,120,124,-10,-1
861,RIGHT,120,124,-10,-1
898,RIGHT,120,124,-10,-1
928,RIGHT,119,124,-11,-1
965,RIGHT,119,124,-11,-1
995,RIGHT,118,124,-12,-1
1028,RIGHT,118,124,-12,-1
1062,RIGHT,118,124,-12,-1
1094,RIGHT,118,124,-12,-1
1130,RIGHT,117,124,-13,-1
1160,RIGHT,116,124,-14,-1
1195,RIGHT,116,124,-14,-1
1226,RIGHT,115,124,-15,-1
1263,RIGHT,115,124,-15,-1
1296,RIGHT,115,124,-15,-1
1329,RIGHT,115,124,-15,-1
1363,RIGHT,115,124,-15,-1
1397,RIGHT,114,124,-16,-1
1434,RIGHT,114,124,-16,-1
1478,RIGHT,114,124,-16,-1
1500,RIGHT,113,124,-17,-1
1526,RIGHT,113,124,-17,-1
1560,RIGHT,112,124,-18,-1
1593,RIGHT,112,124,-18,-1
1629,RIGHT,112,124,-18,-1
1661,RIGHT,112,124,-18,-1
1696,RIGHT,112,124,-18,-1
1730,RIGHT,111,124,-19,-1
1763,RIGHT,111,124,-19,-1
1794,RIGHT,111,124,-19,-1
1828,RIGHT,111,124,-19,-1
1865,RIGHT,111,124,-19,-1
1893,RIGHT,111,124,-19,-1
1933,RIGHT,110,124,-20,-1
1961,RIGHT,110,124,-20,-1
1996,RIGHT,110,124,-20,-1
2027,RIGHT,109,124,-21,-1
2061,RIGHT,109,124,-21,-1
2097,RIGHT,109,124,-21,-1
2129,RIGHT,109,125,-21,0
2163,RIGHT,109,125,-21,0
2196,RIGHT,109,125,-21,0
2230,RIGHT,109,125,-21,0
2262,RIGHT,109,125,-21,0
2294,RIGHT,109,125,-21,0
2329,RIGHT,109,125,-21,0
2369,RIGHT,109,125,-21,0
2410,RIGHT,109,125,-21,0
2436,RIGHT,108,125,-22,0
2465,RIGHT,108,125,-22,0
2495,RIGHT,108,125,-22,0
2530,RIGHT,108,125,-22,0
2563,RIGHT,108,125,-22,0
2595,RIGHT,107,125,-23,0
2629,RIGHT,107,125,-23,0
2665,RIGHT,107,125,-23,0
2696,RIGHT,107,125,-23,0
2735,RIGHT,107,125,-23,0
2761,RIGHT,107,125,-23,0
2796,RIGHT,107,125,-23,0
2826,RIGHT,107,125,-23,0
2861,RIGHT,107,125,-23,0
2896,RIGHT,107,125,-23,0
2927,RIGHT,107,125,-23,0
2966,RIGHT,107,125,-23,0
2996,RIGHT,107,125,-23,0
